"Agency","Last_Risk_Assessment","Program_Name"
"DOI","2025","Indian Land and Water Claim Settlements and Miscellaneous Payments to Indians, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
"GSA","2025","Inflation Reduction Act"
"NASA","2023","Information Technology (IT)"
"GSA","2024","Information Technology Category"
"STATE","2022","Information Technology Central Fund"
"HUD","2023","Information Technology Fund - Other Contractual Services"
"NASA","2023","Infrastructure & Technical Capabilities"
"GSA","2024","Infrastructure Investment and Jobs Act"
"ED","2024","Innovative Approaches to Literacy; Promise Neighborhoods; Full-Service Community Schools; and Congressionally Directed Spending for Elementary and Secondary Education Community Projects"
"NASA","2023","Inspector General"
"NASA","2023","Institutional CoF"
"NASA","2023","Institutions and Management"
"DFC","2025","Insurance Program"
"USDA","2024","Integrated Activities"
"NASA","2023","Integrated Aviation Systems Program"
"GSA","2024","Integrated Award Environment"
"DOI","2025","Interior Franchise Fund, Departmental Management"
"DOI","2022","Interior Franchise Fund, Departmental Management, Interior"
"TREASURY","2025","Internal Revenue Service - Advanced Manufacturing Investment Credit"
"TREASURY","2025","Internal Revenue Service - Build American Bond Payments, Recovery Act"
"TREASURY","2024","Internal Revenue Service - Business Systems Modernization"
"TREASURY","2023","Internal Revenue Service - Child and Dependent Care Tax Credit"
"TREASURY","2025","Internal Revenue Service - Clean Vehicle Credit"
"TREASURY","2025","Internal Revenue Service - Credit for Previously Owned Clean Vehicles"
"TREASURY","2025","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced"
"TREASURY","2025","Internal Revenue Service - Energy Security"
"TREASURY","2022","Internal Revenue Service - Healthcare Credit Exceeds Liability"
"TREASURY","2024","Internal Revenue Service - Informant Reimbursement"
"TREASURY","2024","Internal Revenue Service - Operations Support"
"TREASURY","2025","Internal Revenue Service - Payment to Issuer of New Clean Renewable Energy Bonds"
"TREASURY","2025","Internal Revenue Service - Payment to Issuer of Qualified Energy Conservation Bond"
"TREASURY","2025","Internal Revenue Service - Payment to Issuer of Qualified School Construction Bonds"
"TREASURY","2024","Internal Revenue Service - Payment to Issuer of Qualified Zone Academy Bonds"
"TREASURY","2024","Internal Revenue Service - Private Collection Agent Program"
"TREASURY","2024","Internal Revenue Service - Refund - Corporations"
"TREASURY","2024","Internal Revenue Service - Refund Collection - Interest"
"TREASURY","2024","Internal Revenue Service - Special Compliance Personnel Program Account"
"TREASURY","2024","Internal Revenue Service - Tax Law Enforcement"
"TREASURY","2024","Internal Revenue Service - Taxpayer Services- Exchange of Federal Information with State Agencies"
"TREASURY","2021","Internal Revenue Service - Taxpayer Services- Volunteer Income Tax Assistance Matching Grant Program"
"TREASURY","2021","Internal Revenue Service - US Coronavirus Payments"
"TREASURY","2021","Internal Revenue Service - US Coronavirus Refundable Credits"
"DOC","2023","Internation Trade Administration (ITA)"
"DOC","2024","Internation Trade Administration (ITA) - Enforcement and Compliance"
"DOC","2024","Internation Trade Administration (ITA) - Executive Direction and Administration"
"USAGM","2024","International Broadcasting Bureau (IBB)"
"STATE","2025","International Cooperative Administrative Support Services"
"DOL","2024","International Labor Affairs Bureau"
"STATE","2025","International Security and Nonproliferation Related Programs"
"STATE","2025","International Security Programs"
"NASA","2023","International Space Station"
"DOC","2023","International Trade Administration (ITA) - Enforcement and Compliance"
"DOC","2021","International Trade Administration (ITA) - Executive Direction and Administration"
"DOC","2025","International Trade Administration (ITA) - Global Markets"
"DOC","2024","International Trade Administration (ITA) - Industry and Analysis"
"ED","2023","Iraq and Afghanistan Service Grant (IASG)"
"NASA","2022","James Webb Space Telescope"
"ED","2025","Javits Gifted and Talented Students Education"
"DOI","2025","Land Acquisition and State Assistance, National Park Service"
"DOI","2025","Land Acquisition, Bureau of Land Management"
"DOI","2022","Land Acquisition, Bureau of Land Management, Interior"
"DOI","2025","Land Acquisition, United States Fish and Wildlife Service"
"DOI","2025","Land and Resources Management Trust Fund, Bureau of Land Management"
"DOI","2022","Land and Resources Management Trust Fund, Bureau of Land Management, Interior"
"VA","2025","Land and Structures"
"NASA","2023","Launch Services"
"IMLS","2025","Laura Bush 21st Century Librarian Program"
"DOJ","2025","Law Enforcement"
"NEA","2024","Leadership"
"STATE","2025","Leaseholds and Functional Programs"
"NARA","2023","Legislative Archives, Presidential Libraries, and Museum Services"
"DOJ","2025","Litigation"
"USDA","2023","Livestock Indemnity Program-2014 Farm Bill"
"NASA","2023","Living with a Star"
"VA","2023","Loan Guaranty (Direct Loans)"
"VA","2024","Loan Guaranty (Loan Administration)"
"VA","2024","Loan Guaranty (Loan Production)"
"VA","2024","Loan Guaranty (Property Management)"
"DOE","2024","Loans"
"EXIM","2023","Long-term Authorizations"
"DOI","2025","Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services"
"DOI","2025","Lower Colorado River Basin Development Fund, Bureau of Reclamation"
"NASA","2023","Lunar Discovery and Exploration"
"ED","2024","Magnet Schools Assistance"
"DHS","2025","Management Directorate - Federal Protective Service"
"DHS","2025","Management Directorate - Management & Administration"
"DOI","2024","Management of Lands and Resources, Bureau of Land Management, Interior - IRA"
"DOI","2023","Management of Lands and Resources, Bureau of Land Management, Interior - IRA 221L1109H3, 221L1109H4, 223L1109AF, 226L1109H5, 234L1109AF, 23XL1109A1, 23XL1109HF"
"DOT","2023","Maritime Administration Approval Workflow Contract Payments"
"DOT","2023","Maritime Administration Assistance Programs"
"DOT","2023","Maritime Administration Electronic Invoicing System Ship Manager Payments"
"DOT","2023","Maritime Administration Federal Ship Financing Program Contracts"
"DOT","2023","Maritime Administration Personnel Compensation and Benefits"
"DOT","2023","Maritime Administration Port Infrastructure Development"
"DOT","2023","Maritime Administration Student Incentive Program"
"USDA","2022","Market Facilitation Program"
"NASA","2023","Mars Exploration"
"NASA","2023","Mars Sample Return"
"VA","2025","Medical and Prosthetic Research"
"EXIM","2023","Medium-term Authorizations"
"MSPB","2023","Merit System Protection Board - Salaries and Expenses"
"USAGM","2024","Middle East Broadcasting Networks (MBN/MN)"
"ED","2025","Migrant Education College Assistance Migrant Program"
"ED","2025","Migrant Education High School Equivalency Program"
"ED","2025","Migrant Education State Grant Program"
"DOI","2022","Migratory Bird Conservation Account, U.S. Fish and Wildlife Service, Interior"
"DOI","2025","Migratory Bird Conservation Account, United States Fish and Wildlife Service"
"DOW","2023","Military Health Benefits – Administrative"
"DOW","2024","Military Health Benefits – TRICARE East Region Program (East)"
"DOW","2024","Military Health Benefits – TRICARE Medicare Eligible Program (TMEP)"
"DOW","2024","Military Health Benefits – TRICARE Overseas Program (TOP)"
"DOW","2024","Military Health Benefits – TRICARE Pharmacy Program (TPharm)"
"DOW","2024","Military Health Benefits – TRICARE West Region Program (West)"
"DOW","2025","Military Pay Army – Active Duty"
"DOW","2025","Military Pay Army – Reserve"
"DOW","2025","Military Pay Department of Air Force (DAF) – Active Duty"
"DOW","2025","Military Pay Department of Air Force (DAF) – Air National Guard"
"DOW","2025","Military Pay Department of Air Force (DAF) – Reserve"
"DOW","2024","Military Pay Marie Corps – Reserve"
"DOW","2024","Military Pay Marine Corps – Active Duty"
"DOW","2024","Military Pay Navy – Active Duty"
"DOW","2024","Military Pay Navy – Reserve"
"DOW","2025","Military Retirement – Annuitant Pay"
"DOW","2025","Military Retirement – Combat Related Special Compensation"
"DOW","2025","Military Retirement – Retired Pay"
"DOL","2025","Mine Safety and Health Administration"
"DOL","2022","Mine Safety and Health Administration - Safety and Health Cooperative Grants"
"DOC","2024","Miniority Business Development Agency (MBDA) - Minority Business Development and Advocacy "
"DOC","2023","Minority Business Development Agency (MBDA)"
"DOC","2023","Minority Business Development Agency (MBDA) - Minority Business Development and Advocacy"
"DOC","2023","Minority Business Development Agency (MBDA) - Minority Business Development Grants"
"ED","2025","Minority Science and Engineering Improvement"
"PCLOB","2025","Mission Activities"
"NASA","2023","Mission Enabling Services"
"NLRB","2025","Mission Support"
"VA","2024","Montgomery GI Bill (Chapter 30)"
"NASA","2023","Moon and Mars Architecture"
"MUSP","2025","Morris K. Udall Fellowship Program"
"MUSP","2025","Morris K. Udall Native American Congressional Internship Program"
"MUSP","2025","Morris K. Udall Scholarship Program"
"PBGC","2025","Multiemployer Financial Assistance Payments"
"PBGC","2025","Multiemployer Special Financial Assistance Payments"
"DOI","2025","Multinational Species Conservation Fund, United States Fish and Wildlife Service"
"GSA","2024","Multiyear 2021-2025 ARP"
"IMLS","2025","Museums for America"
"VA","2025","National Cemetery Administration (NCA) Burial"
"STATE","2025","National Endowment for Democracy"
"DOI","2024","National Fire Plan-Wildland Urban Interface Community Fire Assistance"
"DOT","2023","National Highway Traffic Safety Administration"
"DOT","2023","National Highway Traffic Safety Administration Highway Traffic Safety Grants"
"NASA","2023","National Historic Preservation"
"DOI","2025","National Indian Gaming Commission, Gaming Activity Fees"
"DOI","2022","National Indian Gaming Commission, Gaming Activity Fees, Interior"
"DOC","2023","National Institute of Standards and Technology (NIST)"
"DOC","2022","National Institute of Standards and Technology (NIST) - Contracts/Purchase Orders"
"DOC","2024","National Institute of Standards and Technology (NIST) - Grants"
"DOC","2021","National Institute of Standards and Technology (NIST) - Interagency Agreements/Other/Miscellaneous"
"DOC","2025","National Institute of Standards and Technology (NIST) - IPACs/Other/Miscellaneous"
"DOC","2025","National Institute of Standards and Technology (NIST) - Other Transaction Agreements"
"DOC","2025","National Institute of Standards and Technology (NIST) - Payments to Employees"
"DOC","2025","National Institute of Standards and Technology (NIST) - Purchase Card"
"DOC","2024","National Institute of Standards and Technology (NIST) - Purchase Cards"
"DOC","2024","National Institute of Standards and Technology (NIST)- Contracts/Purchase Orders"
"DOC","2024","National Institute of Standards and Technology (NIST)- IPACs/Other/Miscellaneous"
"DOC","2024","National Institute of Standards and Technology (NIST)- Payments to Employees"
"HHS","2024","National Institutes of Health (NIH) - Advanced Research Projects Agency for Health"
"HHS","2023","National Institutes of Health (NIH) - Buildings and Facilities"
"HHS","2025","National Institutes of Health (NIH) - Center for Information Technology"
"HHS","2025","National Institutes of Health (NIH) - Eunice K. Shriver National Institute of Child Health and Human Development"
"HHS","2025","National Institutes of Health (NIH) - Fogarty International Center"
"HHS","2023","National Institutes of Health (NIH) - National Cancer Institute"
"HHS","2023","National Institutes of Health (NIH) - National Cancer Institute Frederick National Laboratory for Cancer Research/Federally Funded Research and Development Centers"
"HHS","2024","National Institutes of Health (NIH) - National Center for Advancing Translational Sciences"
"HHS","2024","National Institutes of Health (NIH) - National Center for Complementary and Integrative Health"
"HHS","2024","National Institutes of Health (NIH) - National Eye Institute"
"HHS","2023","National Institutes of Health (NIH) - National Heart, Lung, and Blood Institute"
"HHS","2023","National Institutes of Health (NIH) - National Human Genome Research Institute"
"HHS","2025","National Institutes of Health (NIH) - National Institute of Allergy and Infectious Diseases"
"HHS","2024","National Institutes of Health (NIH) - National Institute of Arthritis and Musculoskeletal and Skin Diseases"
"HHS","2025","National Institutes of Health (NIH) - National Institute of Biomedical Imaging and Bioengineering"
"HHS","2024","National Institutes of Health (NIH) - National Institute of Dental and Craniofacial Research"
"HHS","2025","National Institutes of Health (NIH) - National Institute of Diabetes and Digestive and Kidney Diseases"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Environmental Health Sciences"
"HHS","2025","National Institutes of Health (NIH) - National Institute of General Medical Sciences"
"HHS","2025","National Institutes of Health (NIH) - National Institute of Mental Health"
"HHS","2024","National Institutes of Health (NIH) - National Institute of Neurological Disorders and Stroke"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Aging"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Alcohol Abuse and Alcoholism"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Deafness and Communication Disorders"
"HHS","2024","National Institutes of Health (NIH) - National Institute on Drug Abuse"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Minority Health and Health Disparities"
"HHS","2024","National Institutes of Health (NIH) - National Institute on Nursing Research"
"HHS","2024","National Institutes of Health (NIH) - National Library of Medicine"
"HHS","2025","National Institutes of Health (NIH) - NIH Clinical Center"
"HHS","2025","National Institutes of Health (NIH) - NIH Purchase Card Program"
"HHS","2025","National Institutes of Health (NIH) - Office of the Director"
"HHS","2022","National Institutes of Health (NIH) National Institute of Allergy and Infectious Diseases (NIAID)"
"HHS","2022","National Institutes of Health (NIH) Rapid Acceleration of Diagnostics"
"HHS","2021","National Institutes of Health (NIH) Small Business Innovation Research"
"NLRB","2023","National Labor Relations Board"
"IMLS","2025","National Leadership Grants for Libraries"
"IMLS","2024","National Leadership Grants for Museums"
"DOC","2023","National Oceanic and Atmospheric Administration (NOAA)"
"DOC","2024","National Oceanic and Atmospheric Administration (NOAA) - Grants"
"DOC","2024","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees"
"DOC","2023","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other"
"DOC","2024","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts"
"DOI","2025","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Bureau of Indian Affairs, Interior"
"DOI","2024","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Bureau of Land Management, Interior - GAOA"
"DOI","2025","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Interior"
"DOI","2023","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Interior - GAOA 1414X5715.011"
"DOI","2023","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Interior - GAOA XXXP571550"
"DOI","2022","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, National Park Service, Interior"
"DOI","2025","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, U.S. Fish and Wildlife Services, Interior"
"DOI","2025","National Recreation and Preservation, National Park Service, Interior"
"ED","2025","National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program"
"VA","2024","National Service Life Insurance"
"CNCS","2025","National Service Trust"
"DOC","2023","National Technical Information Service (NTIS)"
"DOC","2025","National Technical Information Service (NTIS) - (Collect and Disseminate Technical Information - Clearinghouse Program)"
"ED","2025","National Technical Institute for the Deaf"
"DOC","2023","National Telecommunications and Information Administration (NTIA)"
"DOC","2023","National Telecommunications and Information Administration (NTIA) - Broadband Equity, Access, and Deployment Program"
"DOC","2025","National Telecommunications and Information Administration (NTIA) - Broadband Infrastructure Program & Tribal Broadband Connectivity Program"
"DOC","2022","National Telecommunications and Information Administration (NTIA) - Broadband Technology Opportunities Program"
"DOC","2024","National Telecommunications and Information Administration (NTIA) - Connecting Minority Communities Pilot Program"
"DOC","2025","National Telecommunications and Information Administration (NTIA) - Digital Equity Program"
"DOC","2021","National Telecommunications and Information Administration (NTIA) - Digital Television Transition and Public Safety Fund, excluding TV Converter Box Coupon Program and Public Safety Interoperable Communications"
"DOC","2025","National Telecommunications and Information Administration (NTIA) - Domestic and International Policies and Advanced Communications Research; Spectrum Management; Public Safety Communications"
"DOC","2025","National Telecommunications and Information Administration (NTIA) - First Responder Network Authority"
"DOC","2024","National Telecommunications and Information Administration (NTIA) - Middle Mile Program"
"DOC","2023","National Telecommunications and Information Administration (NTIA) - Non-FirstNet Activity included in a) Public Safety Trust Fund; and b) Network Construction Fund"
"DOC","2021","National Telecommunications and Information Administration (NTIA) - Public Telecommunications Facilities Program"
"DOC","2025","National Telecommunications and Information Administration (NTIA) - Public Wireless Supply Chain Innovation Fund"
"VA","2023","National Veterans Sports Programs & Special Events"
"DOI","2022","National Wildlife Refuge Fund, U.S. Fish and Wildlife Service, Interior"
"ED","2025","Native Hawaiian Education"
"DOI","2025","Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary"
"DOI","2025","Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary, National Park Service, Interior"
"DOI","2025","Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary, U.S. Fish and Wildlife Service, Interior"
"DOI","2022","Natural Resource Damage Assessment and Restoration Fund, U.S. Fish and Wildlife Service, Interior"
"DOI","2022","Natural Resource Damage Assessment Fund, Natural Resource Damage Assessment and Restoration, Interior"
"NASA","2023","New Frontiers"
"CPSC","2025","Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Grants"
"VA","2025","Non-Medical Contracts and Agreements"
"CPSC","2024","Non-Payroll"
"CPSC","2025","Non-Payroll – CPSC, Non-grants"
"DOI","2025","North American Wetlands Conservation Fund, United States Fish and Wildlife Service"
"DOC","2021","NTIA - Information Infrastructure Grants"
"USDA","2023","Nutrition Assistance for Puerto Rico"
"DOL","2023","Occupational Safety and Health Administration - State Programs"
"DOI","2025","Ocean Energy Management, Bureau of Ocean Energy Management, Interior"
"DOI","2022","Ocean Energy Management, Bureau of Ocean Energy Management, Interior - IRA 226M19175D"
"USAID","2023","OE Operating Expense"
"SBA","2022","OED Resource Partners Training Portal (RPTP)"
"VA","2024","Off-Station Provider Services"
"VA","2024","Office of Acquisition, Logistics and Construction (Major/Minor Construction)"
"USDA","2023","Office of Civil Rights (OCR) Salaries and Expenses"
"DOL","2024","Office of Disability Employment Policy"
"DOL","2024","Office of Federal Contract Compliance Programs"
"TREASURY","2024","Office of Financial Stability - Home Affordable Modification Program"
"TREASURY","2024","Office of Financial Stability - Salaries and Expenses"
"OGE","2025","Office of Government Ethics-Salaries and Expenses"
"HUD","2024","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction"
"CNCS","2025","Office of Human Capital (Payroll)"
"VA","2024","Office of Information & Technology"
"DOC","2024","Office of Inspector General (OIG) - Department of Commerce "
"USDA","2023","Office of Inspector General (OIG) Disaster Related Appropriations"
"DHS","2024","Office of Inspector General - Audits, Inspections, & Investigations"
"VA","2025","Office of Inspector General - Department of Veterans Affairs"
"HUD","2023","Office of Inspector General - Other Contractual Services"
"DOT","2023","Office of Inspector General Salaries and Expenses"
"DHS","2025","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations"
"TREASURY","2025","Office of International Assistance - Clean Tech Fund Loans Financing Acct"
"TREASURY","2025","Office of International Assistance - Contribution to African Development Bank"
"TREASURY","2023","Office of International Assistance - Contribution to African Development Fund"
"TREASURY","2023","Office of International Assistance - Contribution to European Bank for Reconstruction"
"TREASURY","2025","Office of International Assistance - Contribution to International Bank Reconstruction"
"TREASURY","2023","Office of International Assistance - Contribution to International Development Association"
"TREASURY","2025","Office of International Assistance - Contribution to Multilat INV Guar"
"TREASURY","2025","Office of International Assistance - Contribution to the Asian Development Fund"
"TREASURY","2024","Office of International Assistance - Economic Support Fund"
"TREASURY","2023","Office of International Assistance - Global Environment Facility"
"TREASURY","2023","Office of International Assistance - Global Food Security"
"TREASURY","2021","Office of International Assistance - Global Food Security Fund"
"TREASURY","2023","Office of International Assistance - International Fund for Agriculture Development"
"DOL","2025","Office of Labor-Management Standards"
"DOI","2025","Office of Natural Resources Revenue, Department-Wide Programs, Interior"
"CNCS","2025","Office of Procurement Services"
"GSA","2024","Office of Products and Programs"
"HHS","2024","Office of the Assistant Secretary for Health (OASH) - Family Planning"
"HHS","2024","Office of the Assistant Secretary for Health (OASH) - Minority HIV/AIDS Fund"
"HHS","2025","Office of the Assistant Secretary for Health (OASH) - Office of Research Integrity"
"HHS","2024","Office of the Assistant Secretary for Health (OASH) - Office on Women's Health"
"HHS","2025","Office of the Assistant Secretary for Health (OASH) - Teen Pregnancy Prevention"
"USDA","2023","Office of the Chief Economist (OCE) Salaries and Expenses"
"USDA","2023","Office of the Chief Information Officer (OCIO) Salaries and Expenses"
"HUD","2022","Office of the Chief Procurement Officer - Payments to Federal Contractors - Transformation Initiative"
"TREASURY","2023","Office of the Comptroller of the Currency - Assessment Funds"
"NARA","2023","Office of the Inspector General"
"USDA","2023","Office of the Inspector General (OIG) Salaries and Expenses"
"TREASURY","2023","Office of the Inspector General - Salaries and Expenses"
"HHS","2023","Office of the National Coordinator for Health Information Technology (ONC) Public Health Informatics & Technology (PHIT) Workforce Development Program"
"HHS","2023","Office of the National Coordinator for Health Information Technology (ONC) The ONC IIS HIE COVID-19 Data Management"
"DOC","2023","Office of the Secretary (OS)"
"DOC","2024","Office of the Secretary (OS) - Departmental Management"
"USDA","2023","Office of the Secretary (OSEC) Salaries and Expenses"
"DOT","2022","Office of the Secretary Aviation Manufacturing Jobs Protection Program"
"DOT","2023","Office of the Secretary Grant Programs"
"DOT","2023","Office of the Secretary Grant Programs - Allocation and Administered Accounts"
"DOT","2023","Office of the Secretary Loan Programs"
"DOT","2023","Office of the Secretary Salaries and Expenses"
"DOL","2022","Office of Workers' Compensation - Coal Mine Workers' Compensation"
"DOL","2023","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation"
"DOL","2022","Office of Workers' Compensation - Longshore and Harbor Workers Compensation"
"DOI","2025","Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior"
"DOI","2022","Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior - 234E1700D2"
"DOI","2025","Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior"
"USAGM","2023","Open Technology Fund (OTF)"
"GSA","2024","Operating Expenses (Direct)"
"DOI","2025","Operation and Maintenance of Quarters, National Park Service"
"DOI","2022","Operation and Maintenance of Quarters, National Park Service, Interior"
"DOI","2025","Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T)"
"DOI","2023","Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T), Interior - BIL 5240-A000"
"DOI","2025","Operation of Indian Education Programs, Bureau of Indian Education, Interior"
"DOI","2025","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
"DOI","2022","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior - BIL 221A2100S1, 221A2100S3"
"DOI","2025","Operation of the National Park System, National Park Service, Interior"
"DOI","2022","Operation of the National Park System, National Park Service, Interior - IRA 20P10361B, 221P10361C, 221P10361D, 226P10361E"
"PCLOB","2025","Operational Activities"
"CFTC","2025","Operations and Administration"
"DOI","2025","Oregon and California Grant Lands, Bureau of Land Management"
"DOI","2022","Oregon and California Grant Lands, Bureau of Land Management, Interior"
"NASA","2023","Orion Program"
"OSC","2023","OSC- Investigation and Prosecution of Reprisals for Whistle Blowing"
"DOE","2025","Other"
"VA","2024","Other Contracts, Services, Agreements, and Miscellaneous"
"DOI","2022","Outer Continental Shelf Revenues, Land and Water Conservation Fund (LWCF) Share from Certain Leases, National Park Service, Interior"
"DOI","2025","Outer Continental Shelf Revenues, LWCF Share from Certain Leases, National Park Service"
"NASA","2023","Outer Planets and Ocean Worlds"
"STATE","2025","Overseas Programs"
"DOI","2022","Pacific Northwest and Hawaiian Islands Arts"
"USDA","2022","Pandemic Livestock Indemnity Program"
"DOI","2025","Park Buildings Lease and Maintenance Fund, National Park Service"
"DOI","2022","Park Concession Franchise Fees, National Park Service, Interior"
"DOI","2025","Park Concessions Franchise Fees, National Park Service"
"NEA","2024","Partnership Agreements (State and Regional)"
"USDA","2024","Partnerships for Climate- Smart Commodities"
"EEOC","2024","Pay and Benefits"
"DOI","2025","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services"
"DOI","2022","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services, Bureau of Indian Affairs, Interior"
"DOI","2025","Payment to the United States Territories, Fiscal Assistance, Insular Affairs, Interior"
"DOI","2025","Payments for Tribal Leases, Bureau of Indian Affairs, Interior"
"DOI","2025","Payments in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement"
"DOI","2025","Payments in Lieu of Taxes, Departmental Management, Interior"
"DOI","2025","Payments to Counties, Oregon and California Grant Lands, Bureau of Land Management"
"NSF","2024","Payments to Employees"
"PBGC","2023","Payments to Federal Employees"
"DOI","2025","Payments to State and County from Clark County, Nevada Land Sales, Bureau of Land Management"
"DOI","2022","Payments to States in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement, Interior"
"FTC","2024","Payroll "
"NRC","2024","Payroll"
"SSS","2025","Payroll"
"CPSC","2025","Payroll - CPSC"
"EPA","2023","Payroll - Environmental Protection Agency"
"FERC","2024","Payroll - Federal Energy Regulatory Commission"
"OPM","2024","Payroll - Office of Personnel Management"
"TVA","2024","Payroll Program - Tennessee Valley Authority "
"STATE","2025","Peace-Keeping Operations Programs"
"DOI","2025","Permit Processing Fund, Bureau of Land Management"
"DOI","2022","Permit Processing Fund, Bureau of Land Management, Interior"
"ED","2025","Personnel Compensation and Benefits"
"VA","2025","Pharmacy (Consolidated Mail Outpatient Pharmacies)"
"VA","2025","Pharmacy (Medical Facilities)"
"STATE","2022","Physical Security Programs"
"NASA","2023","Physics of the Cosmos"
"USDA","2025","Pima Agriculture Cotton Trust Fund"
"DOT","2023","Pipeline and Hazardous Materials Safety Administration Payments"
"NASA","2023","Planetary Defense"
"NASA","2023","Planetary Science Research"
"USDA","2024","Plant and Animal Disease, Pest Control, and Animal Care"
"USDA","2023","Plant Materials for Conservation"
"USAID","2024","PO.1 Program Development and Oversight/Program Design and Learning"
"USAID","2024","PO.2 Program Development and Oversight/Administration and Oversight"
"USAID","2024","PO.3 Program Development and Oversight/Evaluation"
"DOI","2025","Policy and Administration, Bureau of Reclamation, Interior"
"HUD","2025","Policy Development and Research - PDR Managed Technical Assistance Grants"
"HUD","2023","Policy Development and Research - Research and Technology"
"STATE","2025","Population Refugees and Migration Programs"
"STATE","2025","Post-Assignment Travel"
"DOI","2025","Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs"
"DOI","2023","Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs, Interior - BIL 5648-A000"
"PBGC","2024","Premium Refunds"
"DOJ","2025","Prisons and Detention"
"VA","2025","Professional Services Contracts"
"ED","2025","Program of Protection and Advocacy of Individual Rights"
"STATE","2025","Project Construction - Major Rehabilitation"
"DFC","2025","Project Development Finance"
"NEA","2025","Promotion of the Arts Grants to Organizations and Individuals"
"NEA","2025","Promotion of the Arts Partnership Agreements"
"NEH","2025","Promotion of the Humanities Challenge Grants"
"NEH","2025","Promotion of the Humanities Division of Preservation and Access"
"NEH","2025","Promotion of the Humanities Federal/State Partnership"
"NEH","2024","Promotion of the Humanities Fellowships and Stipends"
"NEH","2025","Promotion of the Humanities Public Programs"
"NEH","2025","Promotion of the Humanities Research"
"VA","2025","Prosthetics"
"USAID","2024","PS.1 Peace and Security/Counter-Terrorism"
"USAID","2024","PS.3 Peace and Security/Counter-Narcotics"
"USAID","2024","PS.4 Peace and Security/Transnational Threats and Crime"
"USAID","2024","PS.5 Peace and Security/Trafficking in Persons"
"USAID","2024","PS.6 Peace and Security/Conflict Mitigation and Stabilization"
"HUD","2023","Public and Indian Housing - Choice Neighborhoods Initiative"
"HUD","2024","Public and Indian Housing - Family Self-Sufficiency Program"
"HUD","2025","Public and Indian Housing - Indian Community Development Block Grants"
"HUD","2023","Public and Indian Housing - Native American Housing Block Grants"
"HUD","2023","Public and Indian Housing - Native Hawaiian Housing and Indian Home Loan Guarantee - Section 184 Program Account"
"HUD","2025","Public and Indian Housing - Native Hawaiian Housing Block Grants"
"HUD","2022","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation"
"HUD","2025","Public and Indian Housing - Public Housing Capital Fund"
"HUD","2023","Public and Indian Housing - Public Housing Operating Fund"
"FLRA","2025","Purchase Card"
"GSA","2023","Purchase Cards"
"EPA","2023","Purchase Cards - Environmental Protection Agency"
"NSF","2024","Purchase Cards - National Science Foundation"
"OPM","2022","Purchase Cards - Office of Personnel Management"
"USAGM","2023","Radio Free Asia (RFA)"
"USAGM","2024","Radio Free Europe (RFE/RL)"
"NASA","2023","Radioisotope Power"
"STB","2025","Rail Carriers"
"RRB","2023","Railroad Retirement Act"
