"agency","Program Name","Fiscal_Year"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care","2022"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care Health Centers and Free Clinics","2021"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care Health Centers and Free Clinics","2022"
"HHS","Health Resources and Services Administration (HRSA) - Program Management","2022"
"HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund General and Targeted","2021"
"HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund General and Targeted","2022"
"HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund General and Targeted","2023"
"HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund General and Targeted","2024"
"HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","2021"
"HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","2022"
"HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","2024"
"HHS","Health Resources and Services Administration (HRSA) - Reimbursable","2022"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","2022"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","2022"
"HHS","Health Resources and Services Administration (HRSA) – COVID-19 Claims Reimbursement to Health Care Providers and Facilities for Testing, Treatment, and Vaccine Administration for the Uninsured Program (UIP)","2023"
"HHS","Indian Health Service (IHS) - Purchased/Referred Care (Clinical Services)","2022"
"HHS","Indian Health Service (IHS) - Contract Support Costs","2022"
"HHS","Indian Health Service (IHS) - Hospitals and Health Clinics (Clinical Services)","2022"
"HHS","Indian Health Service (IHS) Clinical Services - Testing, Tracing, Containment, Mitigation, and Related Activities (Transfer from Public Health Emergency and Social Services Emergency Fund) - Disaster Relief","2021"
"HHS","Indian Health Service (IHS) Clinical Services - Testing, Tracing, Containment, Mitigation, and Related Activities (Transfer from Public Health Emergency and Social Services Emergency Fund) - Disaster Relief","2022"
"HHS","Indian Health Service (IHS) Testing, Contact Tracing, Monitoring, and Mitigation - Disaster Relief","2021"
"HHS","Indian Health Service (IHS) Testing, Contact Tracing, Monitoring, and Mitigation - Disaster Relief","2022"
"HHS","National Institutes of Health (NIH) - National Cancer Institute","2021"
"HHS","National Institutes of Health (NIH) - National Cancer Institute","2022"
"HHS","National Institutes of Health (NIH) - Office of the Director","2022"
"HHS","National Institutes of Health (NIH) Contract Payments","2022"
"HHS","National Institutes of Health (NIH) National Institute of Allergy and Infectious Diseases (NIAID)","2022"
"HHS","National Institutes of Health (NIH) National Institute of Environmental Health Sciences (NIEHS)","2022"
"HHS","National Institutes of Health (NIH) Purchase Care Program","2022"
"HHS","National Institutes of Health (NIH) Rapid Acceleration of Diagnostics","2022"
"HHS","National Institutes of Health (NIH) Small Business Innovation Research","2021"
"HHS","National Institutes of Health (NIH) Small Business Innovation Research","2022"
"HHS","OASH Office on Women's Health","2022"
"HHS","OASH Public Health Service Evaluation Set-Aside Program","2021"
"HHS","Office of the National Coordinator for Health Information Technology (ONC) Certified Health IT Surveillance Capacity and Infrastructure Improvement Cooperative Agreement Program","2022"
"HHS","Office of the National Coordinator for Health Information Technology (ONC) Closing the Gap between Standards Development and Implementation Maturing the Consolidated Clinical Document Architecture and Fast Healthcare Interoperability Resources","2022"
"HHS","Office of the National Coordinator for Health Information Technology (ONC) Market Transparency Project for Health Information Technology Interoperability Services","2022"
"HHS","Office of the Secretary (OS) Assistant Secretary for Preparedness and Response (ASPR) Continuity of Operations","2022"
"HHS","Office of the Secretary (OS) Assistant Secretary for Preparedness and Response (ASPR) Human Capital (Service and Supply Fund)","2022"
"HHS","Office of the Secretary (OS) Office of the National Coordinator for Health Information Technology (ONC) Health Level 7","2022"
"HHS","Office of the Secretary (OS) Office of the National Coordinator for Health Information Technology (ONC) Tracking Use and Impacts of Health Information Technology on Office-Based Physicians","2022"
"HHS","ONC Integrating the Healthcare Enterprise USA","2021"
"HHS","ONC Trusted Exchange Framework Common Agreement","2021"
"HHS","SAMHSA Mental Health","2021"
"HHS","SAMHSA Substance Abuse Treatment","2021"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Certified Community Behavioral Health Clinics","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Disaster Relief","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Homelessness Prevention Programs","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Linking Actions for Unmet Needs in Children's Health (Project LAUNCH)","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Projects for Assistance in Transition from Homelessness","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - State Opioid Response","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) Congressional Directive Spending Projects","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) Emergency Grants to Address Mental and Substance Use Disorders During COVID-19 - Disaster Relief","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) Health Surveillance and Program Support","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) Mental Health","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) National Suicide Prevention Lifeline Expansion","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) Substance Abuse Prevention","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) Substance Abuse Treatment","2022"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) Tribal Behavioral Health Grants","2022"
"HUD","Community Planning and Development - American Recovery and Reinvestment Act of 2009 (ARRA) Community Development Fund","2021"
"HUD","Community Planning and Development - American Recovery and Reinvestment Act of 2009 (ARRA) Community Development Fund","2022"
"HUD","Community Planning and Development - Appalachian Regional Commission Projects","2021"
"HUD","Community Planning and Development - Appalachian Regional Commission Projects","2022"
"HUD","Community Planning and Development - Capacity Building","2021"
"HUD","Community Planning and Development - Capacity Building","2022"
"HUD","Community Planning and Development - Community Development Block Grant – Disaster Recovery","2021"
"HUD","Community Planning and Development - Community Development Block Grant – Disaster Recovery","2022"
"HUD","Community Planning and Development - Community Development Block Grant – DRAA-Sandy","2021"
"HUD","Community Planning and Development - Community Development Block Grant – DRAA-Sandy","2022"
"HUD","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement","2021"
"HUD","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement","2022"
"HUD","Community Planning and Development - Community Development Loan Guarantees- Section 108","2021"
"HUD","Community Planning and Development - Community Development Loan Guarantees- Section 108","2022"
"HUD","Community Planning and Development - Congressional Earmarks – Economic Development Initiative – Special Projects /Neighborhood Initiatives","2021"
"HUD","Community Planning and Development - Congressional Earmarks – Economic Development Initiative – Special Projects /Neighborhood Initiatives","2022"
"HUD","Community Planning and Development - Department of Transportation Surface Transportation Projects","2021"
"HUD","Community Planning and Development - Department of Transportation Surface Transportation Projects","2022"
"HUD","Community Planning and Development - Economic Development Initiative/Brownfields Redevelopment Economic Development Initiative","2021"
"HUD","Community Planning and Development - Economic Development Initiative/Brownfields Redevelopment Economic Development Initiative","2022"
"HUD","Community Planning and Development - HOME Investments Partnership Program","2021"
"HUD","Community Planning and Development - HOME Investments Partnership Program","2022"
"HUD","Community Planning and Development - Homeless Assistance Grants","2021"
"HUD","Community Planning and Development - Homeless Assistance Grants","2022"
"HUD","Community Planning and Development - Homeless Prevention Rapid Re-Housing","2021"
"HUD","Community Planning and Development - Homeless Prevention Rapid Re-Housing","2022"
"HUD","Community Planning and Development - Housing Opportunities for Persons with AIDS","2021"
"HUD","Community Planning and Development - Housing Opportunities for Persons with AIDS","2022"
"HUD","Community Planning and Development - Housing Trust Fund","2021"
"HUD","Community Planning and Development - Housing Trust Fund","2022"
"HUD","Community Planning and Development - Nehemiah Housing Opportunity Grants","2021"
"HUD","Community Planning and Development - Nehemiah Housing Opportunity Grants","2022"
"HUD","Community Planning and Development - Neighborhood Initiatives Program","2021"
"HUD","Community Planning and Development - Neighborhood Initiatives Program","2022"
"HUD","Community Planning and Development - Neighborhood Stabilization Program","2021"
"HUD","Community Planning and Development - Neighborhood Stabilization Program","2022"
"HUD","Community Planning and Development - Project Based Section 8 - Renewal of Expiring Sec. 8 Mod Rehab SRO","2021"
"HUD","Community Planning and Development - Project Based Section 8 - Renewal of Expiring Sec. 8 Mod Rehab SRO","2022"
"HUD","Community Planning and Development - Public Laws 115-123, 115-56, and 115-72","2021"
"HUD","Community Planning and Development - Public Laws 115-123, 115-56, and 115-72","2022"
"HUD","Community Planning and Development - Rural Housing and Economic Development","2021"
"HUD","Community Planning and Development - Rural Housing and Economic Development","2022"
"HUD","Community Planning and Development - Rural Innovation Fund","2021"
"HUD","Community Planning and Development - Rural Innovation Fund","2022"
"HUD","Community Planning and Development - Self-Help Homeownership Opportunity Program (SHOP)","2021"
"HUD","Community Planning and Development - Self-Help Homeownership Opportunity Program (SHOP)","2022"
"HUD","Community Planning and Development - Sustainable Communities Initiative Program","2021"
"HUD","Community Planning and Development - Sustainable Communities Initiative Program","2022"
"HUD","Community Planning and Development - Veterans Housing Rehab Program","2021"
"HUD","Community Planning and Development - Veterans Housing Rehab Program","2022"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Assistance Program","2021"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Assistance Program","2022"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Initiatives Program","2021"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Initiatives Program","2022"
"HUD","Federal Housing Administration - Contracts/Grants (includes Single Family Upfront Grants)","2021"
"HUD","Federal Housing Administration - Contracts/Grants (includes Single Family Upfront Grants)","2022"
"HUD","Federal Housing Administration - Federal Finance Bank Direct Loans","2021"
"HUD","Federal Housing Administration - Federal Finance Bank Direct Loans","2022"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Claims","2021"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Claims","2022"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Notes","2021"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Notes","2022"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","2021"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","2022"
"HUD","Federal Housing Administration - Multi-Family Notes","2021"
"HUD","Federal Housing Administration - Multi-Family Notes","2022"
"HUD","Federal Housing Administration - Multi-Family Premium Refunds","2021"
"HUD","Federal Housing Administration - Multi-Family Premium Refunds","2022"
"HUD","Federal Housing Administration - Multi-Family Property","2021"
"HUD","Federal Housing Administration - Multi-Family Property","2022"
"HUD","Federal Housing Administration - Other Disbursements","2021"
"HUD","Federal Housing Administration - Other Disbursements","2022"
"HUD","Federal Housing Administration - Single Family Claims","2021"
"HUD","Federal Housing Administration - Single Family Claims","2022"
"HUD","Federal Housing Administration - Single Family Notes","2021"
"HUD","Federal Housing Administration - Single Family Notes","2022"
"HUD","Federal Housing Administration - Single Family Premium Refunds - Distributive Shares and Refund System","2021"
"HUD","Federal Housing Administration - Single Family Premium Refunds - Distributive Shares and Refund System","2022"
"HUD","Federal Housing Administration - Single Family Property (Single Family Acquired Asset Management System) (SAMS)","2021"
"HUD","Federal Housing Administration - Single Family Property (Single Family Acquired Asset Management System) (SAMS)","2022"
"HUD","Federal Housing Administration - Title I Claims","2021"
"HUD","Federal Housing Administration - Title I Claims","2022"
"HUD","Federal Housing Administration - Title I Notes","2021"
"HUD","Federal Housing Administration - Title I Notes","2022"
"HUD","Ginnie Mae - Contractor Payments","2021"
"HUD","Ginnie Mae - Contractor Payments","2022"
"HUD","Ginnie Mae - Master Sub-Servicer Default Activity","2021"
"HUD","Ginnie Mae - Master Sub-Servicer Default Activity","2022"
"HUD","Ginnie Mae - Pass Through Assistance Program (PTAP)","2021"
"HUD","Ginnie Mae - Pass Through Assistance Program (PTAP)","2022"
"HUD","Ginnie Mae - Refunds Program","2021"
"HUD","Ginnie Mae - Refunds Program","2022"
"HUD","Ginnie Mae - Soldiers' and Sailors' Civil Relief Act Program Reimbursement and Multi-Family 1% Reimbursement Program","2021"
"HUD","Ginnie Mae - Soldiers' and Sailors' Civil Relief Act Program Reimbursement and Multi-Family 1% Reimbursement Program","2022"
"HUD","Ginnie Mae - Unclaimed Security Holder Payments","2021"
"HUD","Ginnie Mae - Unclaimed Security Holder Payments","2022"
"HUD","Housing - College Housing Debt Service Grants","2021"
"HUD","Housing - College Housing Debt Service Grants","2022"
"HUD","Housing - Emergency Homeowners' Loan Program - Direct Loan Financing Account","2021"
"HUD","Housing - Emergency Homeowners' Loan Program - Direct Loan Financing Account","2022"
"HUD","Housing - Emergency Homeowners' Relief Fund","2021"
"HUD","Housing - Emergency Homeowners' Relief Fund","2022"
"HUD","Housing - Energy Innovation Fund","2021"
"HUD","Housing - Energy Innovation Fund","2022"
"HUD","Housing - Flexible Subsidy","2021"
"HUD","Housing - Flexible Subsidy","2022"
"HUD","Housing - Green Retrofit Program for Multi-Family Housing - Recovery Act","2021"
"HUD","Housing - Green Retrofit Program for Multi-Family Housing - Recovery Act","2022"
"HUD","Housing - Housing Counseling Assistance","2021"
"HUD","Housing - Housing Counseling Assistance","2022"
"HUD","Housing - Housing for Special Populations- Capital Advance portion of expenditures, Section 202","2021"
"HUD","Housing - Housing for Special Populations- Capital Advance portion of expenditures, Section 202","2022"
"HUD","Housing - Housing for the Elderly or Handicapped - Direct Loan Liquidating Account - Section 202","2021"
"HUD","Housing - Housing for the Elderly or Handicapped - Direct Loan Liquidating Account - Section 202","2022"
"HUD","Housing - Manufactured Housing","2021"
"HUD","Housing - Manufactured Housing","2022"
"HUD","Housing - Multi-Family Upfront Grants - General Insurance and Special Risk Insurance Fund","2021"
"HUD","Housing - Multi-Family Upfront Grants - General Insurance and Special Risk Insurance Fund","2022"
"HUD","Housing - Rent Supplement","2021"
"HUD","Housing - Rent Supplement","2022"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","2021"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","2022"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","2023"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","2024"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","2025"
"HUD","Housing - Rental Housing Assistance Program- Section 236","2021"
"HUD","Housing - Rental Housing Assistance Program- Section 236","2022"
"HUD","Housing - Section 811 Housing for Persons with Disabilities (PRAC and Capital Advance)","2021"
"HUD","Housing - Section 811 Housing for Persons with Disabilities (PRAC and Capital Advance)","2022"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","2021"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","2022"
"HUD","Office of the Chief Procurement Officer - Payments to Federal Contractors - Transformation Initiative","2021"
"HUD","Office of the Chief Procurement Officer - Payments to Federal Contractors - Transformation Initiative","2022"
"HUD","Policy Development and Research - Research and Technology","2021"
"HUD","Policy Development and Research - Research and Technology","2022"
"HUD","Public and Indian Housing - Choice Neighborhoods Initiative","2021"
"HUD","Public and Indian Housing - Choice Neighborhoods Initiative","2022"
"HUD","Public and Indian Housing - Disaster - Federal Emergency Management Agency Disaster Housing Assistance Program","2021"
"HUD","Public and Indian Housing - Family Self-Sufficiency Program","2021"
"HUD","Public and Indian Housing - Family Self-Sufficiency Program","2022"
"HUD","Public and Indian Housing - Indian Community Development Block Grants","2021"
"HUD","Public and Indian Housing - Indian Community Development Block Grants","2022"
"HUD","Public and Indian Housing - Native American Housing Block Grants","2021"
"HUD","Public and Indian Housing - Native American Housing Block Grants","2022"
"HUD","Public and Indian Housing - Native Hawaiian Housing and Indian Home Loan Guarantee - Section 184 Program Account","2021"
"HUD","Public and Indian Housing - Native Hawaiian Housing and Indian Home Loan Guarantee - Section 184 Program Account","2022"
"HUD","Public and Indian Housing - Native Hawaiian Housing Block Grants","2021"
"HUD","Public and Indian Housing - Native Hawaiian Housing Block Grants","2022"
"HUD","Public and Indian Housing - Permanent Supportive Housing","2021"
"HUD","Public and Indian Housing - Permanent Supportive Housing","2022"
"HUD","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","2021"
"HUD","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","2022"
"HUD","Public and Indian Housing - Public Housing Capital Fund","2021"
"HUD","Public and Indian Housing - Public Housing Capital Fund","2022"
"HUD","Public and Indian Housing - Public Housing Operating Fund","2021"
"HUD","Public and Indian Housing - Public Housing Operating Fund","2022"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","2021"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","2022"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","2023"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","2024"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","2025"
"HUD","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","2021"
"HUD","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","2022"
"HUD","Public and Indian Housing - Title VI Indian Federal Guarantees","2021"
"HUD","Public and Indian Housing - Title VI Indian Federal Guarantees","2022"
"HUD","Salaries and Expenses","2021"
"HUD","Salaries and Expenses","2022"
"MCC","614(g) of the Millennium Challenge Act of 2003","2021"
"MCC","614(g) of the Millennium Challenge Act of 2003","2022"
"MCC","Administrative Expenses - Millennium Challenge Corporation","2021"
"MCC","Administrative Expenses - Millennium Challenge Corporation","2022"
"MCC","Audit","2021"
"MCC","Audit","2022"
"MCC","Compact Assistance","2021"
"MCC","Compact Assistance","2022"
"MCC","Compact Development Funding","2021"
"MCC","Compact Development Funding","2022"
"MCC","Due Diligence","2021"
"MCC","Due Diligence","2022"
"MCC","Global Health","2021"
"MCC","Global Health","2022"
"MCC","Threshold Programs","2021"
"MCC","Threshold Programs","2022"
"MSPB","Merit System Protection Board - Salaries and Expenses","2022"
"NARA","Administrative Overhead","2021"
"NARA","Administrative Overhead","2022"
"NARA","Agency Services","2021"
"NARA","Agency Services","2022"
"NARA","Legislative Archives, Presidential Libraries, and Museum Services","2021"
"NARA","Legislative Archives, Presidential Libraries, and Museum Services","2022"
"NARA","National Historical Publications and Records Commission (NHPRC) Grants","2021"
"NARA","National Historical Publications and Records Commission (NHPRC) Grants","2022"
"NARA","Office of the Inspector General","2021"
"NARA","Office of the Inspector General","2022"
"NARA","Research Services","2021"
"NARA","Research Services","2022"
"NASA","21st Century Space Launch Complex","2022"
"NASA","Advanced Air Vehicles Program","2022"
"NASA","Advanced Cislunar and Surface Capabilities","2021"
"NASA","Advanced Cislunar and Surface Capabilities","2022"
"NASA","Advanced Exploration Systems","2021"
"NASA","Advanced Exploration Systems","2022"
"NASA","Aeronautics Strategy and Management","2021"
"NASA","Aeronautics Test Program","2021"
"NASA","Aerosciences Evaluation and Test Capabilities","2021"
"NASA","Aerosciences Evaluation and Test Capabilities","2022"
"NASA","Agency Information Technology (IT) Services","2021"
"NASA","Agency Management","2021"
"NASA","Agency Management","2022"
"NASA","Agency Technical Authority","2021"
"NASA","Agency Technical Authority","2022"
"NASA","Agency Technology and Innovation (AT&I)","2021"
"NASA","Airspace Operations and Safety Program","2022"
"NASA","Airspace Systems","2021"
"NASA","Ames Research Center (ARC)","2021"
"NASA","Applied Sciences","2022"
"NASA","Armstrong Flight Reach Center (AFRC)","2021"
"NASA","Astrophysics Explorer","2021"
"NASA","Astrophysics Explorer","2022"
"NASA","Astrophysics Research","2021"
"NASA","Astrophysics Research","2022"
"NASA","Aviation Safety Program","2021"
"NASA","Biological and Physical Sciences","2021"
"NASA","Biological and Physical Sciences","2022"
"NASA","Center Engineering Safety & Operations","2021"
"NASA","Center Management and Operations","2022"
"NASA","Commercial Crew Program","2021"
"NASA","Commercial LEO Development","2021"
"NASA","Commercial LEO Development","2022"
"NASA","Communication Services Program","2021"
"NASA","Cosmic Origins","2022"
"NASA","Crew and Cargo Program","2022"
"NASA","Disaster Relief Appropriation","2022"
"NASA","Discovery","2021"
"NASA","Discovery","2022"
"NASA","Early Stage Innovation and Partnerships","2022"
"NASA","Earth Science Data Systems","2021"
"NASA","Earth Science Data Systems","2022"
"NASA","Earth Science Research","2021"
"NASA","Earth Science Research","2022"
"NASA","Earth Science Technology","2022"
"NASA","Earth System Science Pathfinder","2022"
"NASA","Earth Systematic Missions","2022"
"NASA","Enhanced Use Lease Program","2021"
"NASA","Environmental Compliance and Restoration","2021"
"NASA","Environmental Compliance and Restoration","2022"
"NASA","Exoplanet Exploration","2021"
"NASA","Exoplanet Exploration","2022"
"NASA","Exploration CoF","2021"
"NASA","Exploration CoF","2022"
"NASA","Exploration Ground Systems","2021"
"NASA","Exploration Ground Systems","2022"
"NASA","Exploration Technology Development Program (ETDP)","2021"
"NASA","Gateway","2021"
"NASA","Gateway","2022"
"NASA","Glenn Research Center (GRC)","2021"
"NASA","Goddard Space Flight Center (GSFC)","2021"
"NASA","Heliophysics Explorer Program","2022"
"NASA","Heliophysics Research","2022"
"NASA","Human Landing System","2021"
"NASA","Human Landing System","2022"
"NASA","Human Research Program","2022"
"NASA","Human Space Flight Operations","2022"
"NASA","Information Technology (IT)","2021"
"NASA","Information Technology (IT)","2022"
"NASA","Infrastructure & Technical Capabilities","2021"
"NASA","Infrastructure & Technical Capabilities","2022"
"NASA","Inspector General","2021"
"NASA","Inspector General","2022"
"NASA","Institutional CoF","2021"
"NASA","Institutional CoF","2022"
"NASA","Institutions and Management","2021"
"NASA","Institutions and Management","2022"
"NASA","Integrated Aviation Systems Program","2021"
"NASA","Integrated Aviation Systems Program","2022"
"NASA","Integrated System Research","2021"
"NASA","International Space Station","2022"
"NASA","James Webb Space Telescope","2022"
"NASA","Johnson Space Center (JSC)","2021"
"NASA","Kennedy Space Center (KSC)","2021"
"NASA","Langley Research Center (LaRC)","2021"
"NASA","Launch Services","2022"
"NASA","Living with a Star","2022"
"NASA","Lunar Discovery and Exploration","2021"
"NASA","Lunar Discovery and Exploration","2022"
"NASA","Mars Exploration","2022"
"NASA","Mars Sample Return","2022"
"NASA","Marshall Space Flight Center (MSFC)","2021"
"NASA","Mission Enabling Services","2021"
"NASA","Mission Enabling Services","2022"
"NASA","NASA Headquarters (NASA HQ) / Jet Propulsion Laboratory (JPL)","2021"
"NASA","NASA Shared Services Center (NSSC)","2021"
"NASA","National Historic Preservation","2021"
"NASA","New Frontiers","2022"
"NASA","Office of Chief Financial Officer - Policy Grants Mission Design Lab (MDL) Sustained","2021"
"NASA","Office of Inspector General - Office of Audits","2021"
"NASA","Office of Inspector General - Office of Investigations","2021"
"NASA","Office of Procurement - Incurred Cost Mission Design Lab (MDL) Sustained","2021"
"NASA","Orion Program","2022"
"NASA","Outer Planets and Ocean Worlds","2022"
"NASA","Physics of the Cosmos","2022"
"NASA","Planetary Defense","2021"
"NASA","Planetary Defense","2022"
"NASA","Planetary Science Research","2022"
"NASA","Radioisotope Power","2022"
"NASA","Reimbursable (RMB) - ST Programmatic Reimbursables","2021"
"NASA","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Institutional Reimbursables","2021"
"NASA","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Programmatic Reimbursables","2022"
"NASA","Reimbursable (RMB) Office of Inspector General (OIG) Institution Reimbursables","2021"
"NASA","Reimbursable (RMB) Science Mission Directorate (SCMD) Institutional Reimbursables","2021"
"NASA","Reimbursable (RMB) Science Mission Directorate (SCMD) Programmatic Reimbursables","2021"
"NASA","Reimbursable (RMB) Small Spacecraft Mission Service (SSMS) Institutional Reimbursables","2021"
"NASA","Reimbursable (RMB) Space Operations Mission Directorate (SOMD) Institutional Reimbursables","2021"
"NASA","Reimbursable (RMB) Space Operations Mission Directorate (SOMD) Programmatic Reimbursables","2021"
"NASA","Reimbursable (RMB)- STEM Programmatic Reimbursables","2021"
"NASA","RMB-ARMD Programmatic Reimbursables","2021"
"NASA","Rocket Propulsion Test","2022"
"NASA","Safety and Mission Success","2022"
"NASA","Safety Engineering, Safety, & Operations","2022"
"NASA","SBIR and STTR","2022"
"NASA","Science CoF","2021"
"NASA","Solar Terrestrial Probes","2022"
"NASA","Space Communications and Navigation","2022"
"NASA","Space Launch System","2022"
"NASA","Space Operations CoF","2021"
"NASA","Space Operations CoF","2022"
"NASA","Space Shuttle Program","2021"
"NASA","Space Technology Research & Development (STRD)","2021"
"NASA","STEM Engagement","2021"
"NASA","STEM Engagement","2022"
"NASA","Stennis Space Center (SSC)","2021"
"NASA","Technology Demonstration","2022"
"NASA","Technology Maturation","2022"
"NASA","Transformative Aero Concepts Program","2021"
"NASA","Transformative Aero Concepts Program","2022"
"NEA","CARES Act","2022"
"NEH","Administrative Funds (210)","2022"
"NEH","ARP Adminstrative Funds (217)","2022"
"NEH","Coronavirus Aid, Relief, and Economic Security (CARES) Act Definite Program Fund (226)","2022"
"NEH","Promotion of the Humanities Division of Preservation and Access","2022"
"NEH","Promotion of the Humanities Federal/State Partnership","2022"
"NEH","Promotion of the Humanities Research","2022"
"NRC","Agency Reporting","2021"
"NRC","Commercial","2021"
"NRC","Commercial","2022"
"NRC","Employee","2021"
"NRC","Employee","2022"
"NRC","Government Charge Cards","2021"
"NRC","Government Charge Cards","2022"
"NRC","Payroll","2021"
"NRC","Payroll","2022"
"NRC","U.S. Nuclear Regulatory Commission Scholarship and Fellowship Program","2021"
"NRC","U.S. Nuclear Regulatory Commission Scholarship and Fellowship Program","2022"
"NSF","Contracts and Individual Payments","2021"
"NSF","Contracts and Individual Payments","2022"
"NSF","Grants and Cooperative Agreements","2021"
"NSF","Grants and Cooperative Agreements","2022"
"NSF","Payments to Employees","2021"
"NSF","Payments to Employees","2022"
"NSF","Purchase Cards","2021"
"NSF","Purchase Cards - National Science Foundation","2022"
"NTSB","NTSB Operations","2021"
"OPM","Emergency Federal Employee Leave Fund","2022"
"OPM","Federal Employees Health Benefits","2022"
"OPM","Federal Employees Health Benefits - Experience Rated Carriers","2023"
"OPM","Federal Employees Health Benefits - Experience Rated Carriers","2024"
"OPM","Federal Employees Health Benefits - Experience Rated Carriers","2025"
"OPM","Federal Employees’ Group Life Insurance (FEGLI)","2022"
"OPM","Federal Employees’ Group Life Insurance (FEGLI)","2023"
"OPM","Federal Employes Health Benefits","2021"
"OPM","Federal Retirement Services","2021"
"OPM","Federal Retirement Services","2022"
"OPM","Federal Retirement Services","2023"
"OPM","Federal Retirement Services","2024"
"OPM","Federal Retirement Services","2025"
"OPM","Payroll - Office of Personnel Management","2022"
"OPM","Purchase Cards - Office of Personnel Management","2022"
