"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"HUD","2017","Public and Indian Housing - Native Hawaiian Housing Block Grants","","","No",""
"HUD","2020","Public and Indian Housing - Native Hawaiian Housing Block Grants","","NO","Yes","No"
"HUD","2021","Public and Indian Housing - Native Hawaiian Housing Block Grants","","","No","No"
"HUD","2022","Public and Indian Housing - Native Hawaiian Housing Block Grants","","","No","No"
"HUD","2023","Public and Indian Housing - Native Hawaiian Housing Block Grants","","","No","No"
"HUD","2025","Public and Indian Housing - Native Hawaiian Housing Block Grants","0","","Yes","No"
"HUD","2024","Public and Indian Housing - Native Hawaiian Housing Loan Guarantee Program - Sec. 184a","","","No",""
"HUD","2025","Public and Indian Housing - Native Hawaiian Housing Loan Guarantee Program - Sec. 184a","","","No",""
"HUD","2018","Public and Indian Housing - Permanent Supportive Housing","","","No",""
"HUD","2021","Public and Indian Housing - Permanent Supportive Housing","","","No",""
"HUD","2022","Public and Indian Housing - Permanent Supportive Housing","","","No",""
"HUD","2023","Public and Indian Housing - Permanent Supportive Housing","","","No",""
"HUD","2019","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","","No","Yes","No"
"HUD","2020","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","","","No","No"
"HUD","2021","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","","","No","No"
"HUD","2022","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","0","No","Yes","No"
"HUD","2023","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","0","","No","No"
"HUD","2024","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","0","","No","No"
"HUD","2025","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","","","No","No"
"HUD","2017","Public and Indian Housing - Public Housing Capital Fund","","","No",""
"HUD","2018","Public and Indian Housing - Public Housing Capital Fund","","","No",""
"HUD","2019","Public and Indian Housing - Public Housing Capital Fund","","No","Yes","No"
"HUD","2020","Public and Indian Housing - Public Housing Capital Fund","","","No","No"
"HUD","2021","Public and Indian Housing - Public Housing Capital Fund","","","No","No"
"HUD","2022","Public and Indian Housing - Public Housing Capital Fund","0","No","Yes","No"
"HUD","2023","Public and Indian Housing - Public Housing Capital Fund","0","","No","No"
"HUD","2024","Public and Indian Housing - Public Housing Capital Fund","0","","No","No"
"HUD","2025","Public and Indian Housing - Public Housing Capital Fund","0","","Yes","No"
"HUD","2017","Public and Indian Housing - Public Housing Operating Fund","","","No",""
"HUD","2020","Public and Indian Housing - Public Housing Operating Fund","","NO","Yes","No"
"HUD","2021","Public and Indian Housing - Public Housing Operating Fund","","","No","No"
"HUD","2022","Public and Indian Housing - Public Housing Operating Fund","","","No","No"
"HUD","2023","Public and Indian Housing - Public Housing Operating Fund","0","","Yes","No"
"HUD","2024","Public and Indian Housing - Public Housing Operating Fund","0","","No","No"
"HUD","2025","Public and Indian Housing - Public Housing Operating Fund","","","No","No"
"HUD","2017","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","","","No",""
"HUD","2018","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","","","No",""
"HUD","2019","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","","","No",""
"HUD","2020","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","","","Yes","No"
"HUD","2021","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","","","Yes","No"
"HUD","2022","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","","","No","No"
"HUD","2023","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","0","","No","No"
"HUD","2024","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","0","","No","No"
"HUD","2025","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","0","","Yes","Yes"
"HUD","2017","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","","","No",""
"HUD","2018","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","","","No",""
"HUD","2021","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","","","No",""
"HUD","2022","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","","","No",""
"HUD","2023","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","","","No",""
"HUD","2025","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","","","No",""
"HUD","2017","Public and Indian Housing - Title VI Indian Federal Guarantees","","","No",""
"HUD","2020","Public and Indian Housing - Title VI Indian Federal Guarantees","","NO","Yes","No"
"HUD","2021","Public and Indian Housing - Title VI Indian Federal Guarantees","","","No","No"
"HUD","2022","Public and Indian Housing - Title VI Indian Federal Guarantees","","","No","No"
"HUD","2023","Public and Indian Housing - Title VI Indian Federal Guarantees","","","No","No"
"HUD","2017","Salaries and Expenses","","","No",""
"HUD","2020","Salaries and Expenses","","NO","Yes","No"
"HUD","2021","Salaries and Expenses","","","No","No"
"HUD","2022","Salaries and Expenses","","","No","No"
"HUD","2023","Salaries and Expenses","0","","Yes","No"
"HUD","2024","Salaries and Expenses","0","","No","No"
"HUD","2025","Salaries and Expenses","","","No","No"
"HUD","2023","Working Capital Fund - Other Contractual Services","","","No",""
"IAF","2025","IAF Assistance for Overseas Programs1","","","No",""
"IAF","2025","IAF Assistance for Overseas Programs2","","","No",""
"IMLS","2025","21st Century Museum Professional Program","","","No",""
"IMLS","2025","American Latino Museum Internship and Fellowship Initiative","","","No",""
"IMLS","2024","Grants to States","0","","Yes","No"
"IMLS","2025","Grants to States","0","","Yes","No"
"IMLS","2024","Laura Bush 21st Century Librarian Program","0","","Yes","No"
"IMLS","2025","Laura Bush 21st Century Librarian Program","0","","Yes","No"
"IMLS","2025","Museum Grants for African American History and Culture","","","No",""
"IMLS","2025","Museum Grants for American Latino History and Culture","","","No",""
"IMLS","2024","Museums for America","0","","Yes","No"
"IMLS","2025","Museums for America","0","","Yes","No"
"IMLS","2024","National Leadership Grants for Libraries","0","","Yes","No"
"IMLS","2025","National Leadership Grants for Libraries","0","","Yes","No"
"IMLS","2024","National Leadership Grants for Museums","0","","Yes","No"
"IMLS","2025","National Leadership Grants for Museums","","","No","No"
"IMLS","2025","Native American and Native Hawaiian Library Services","","","No",""
"IMLS","2025","Native American/Native Hawaiian Museum Services Program","","","No",""
"JMF","2025","James Madison Memorial Fellowship Foundation","","","No",""
"JUFC","2025","Japan-U.S. Friendship Commission Grants","","","No",""
"LOC","2025","Affiliate Centers for the Book Programming Grants","","","No",""
"LOC","2025","Connecting Communities Digital Initiative","","","No",""
"LOC","2025","Lewis-Houghton Civics and Democracy Initiative","","","No",""
"LOC","2025","Library of Congress Grants","","","No",""
"LOC","2025","Of the People: Community Collections Grants","","","No",""
"LOC","2025","Teaching with Primary Sources","","","No",""
"MCC","2020","614(g) of the Millennium Challenge Act of 2003","","NO","Yes","No"
"MCC","2021","614(g) of the Millennium Challenge Act of 2003","","","No","No"
"MCC","2022","614(g) of the Millennium Challenge Act of 2003","","","No","No"
"MCC","2023","614(g) of the Millennium Challenge Act of 2003","","","No","No"
"MCC","2020","Administrative Expenses - Millennium Challenge Corporation","","NO","Yes","No"
"MCC","2021","Administrative Expenses - Millennium Challenge Corporation","","","No","No"
"MCC","2022","Administrative Expenses - Millennium Challenge Corporation","","","No","No"
"MCC","2023","Administrative Expenses - Millennium Challenge Corporation","0","","Yes","No"
"MCC","2024","Administrative Expenses - Millennium Challenge Corporation","0","","No","No"
"MCC","2025","Administrative Expenses - Millennium Challenge Corporation","","","No","No"
"MCC","2020","Audit","","NO","Yes","No"
"MCC","2021","Audit","","","No","No"
"MCC","2022","Audit","","","No","No"
"MCC","2023","Audit","","","No","No"
"MCC","2020","Compact Assistance","","NO","Yes","No"
"MCC","2021","Compact Assistance","","","No","No"
"MCC","2022","Compact Assistance","","","No","No"
"MCC","2023","Compact Assistance","0","","Yes","No"
"MCC","2024","Compact Assistance","0","","No","No"
"MCC","2025","Compact Assistance","","","No","No"
"MCC","2020","Compact Development Funding","","NO","Yes","No"
"MCC","2021","Compact Development Funding","","","No","No"
"MCC","2022","Compact Development Funding","","","No","No"
"MCC","2023","Compact Development Funding","0","","Yes","No"
"MCC","2024","Compact Development Funding","0","","No","No"
"MCC","2025","Compact Development Funding","","","No","No"
"MCC","2020","Due Diligence","","NO","Yes","No"
"MCC","2021","Due Diligence","","","No","No"
"MCC","2022","Due Diligence","","","No","No"
"MCC","2023","Due Diligence","0","","Yes","No"
"MCC","2024","Due Diligence","0","","No","No"
"MCC","2025","Due Diligence","","","No","No"
"MCC","2020","Global Health","","NO","Yes","No"
"MCC","2021","Global Health","","","No","No"
"MCC","2022","Global Health","","","No","No"
"MCC","2023","Global Health","","","No","No"
"MCC","2025","MCC Foreign Assistance for Overseas Programs","","","No",""
"MCC","2020","Threshold Programs","","NO","Yes","No"
"MCC","2021","Threshold Programs","","","No","No"
"MCC","2022","Threshold Programs","","","No","No"
"MCC","2023","Threshold Programs","0","","Yes","No"
"MCC","2024","Threshold Programs","0","","No","No"
"MCC","2025","Threshold Programs","","","No","No"
"MSPB","2022","Merit System Protection Board - Salaries and Expenses","","","No",""
"MSPB","2023","Merit System Protection Board - Salaries and Expenses","0","","Yes","No"
"MSPB","2022","Salaries and Expenses","","","No",""
"MSPB","2023","Salaries and Expenses","","","Yes","No"
"MSPB","2025","Salaries and Expenses","0","","Yes","No"
"MUSP","2025","Morris K. Udall Fellowship Program","0","","Yes","No"
"MUSP","2025","Morris K. Udall Native American Congressional Internship Program","0","","Yes","No"
"MUSP","2025","Morris K. Udall Scholarship Program","0","","Yes","No"
"NARA","2017","Administrative Overhead","","","No",""
"NARA","2019","Administrative Overhead","","No","No",""
"NARA","2020","Administrative Overhead","","NO","Yes","No"
"NARA","2021","Administrative Overhead","","","No","No"
"NARA","2022","Administrative Overhead","","","No","No"
"NARA","2023","Administrative Overhead","0","","Yes","No"
"NARA","2024","Administrative Overhead","0","","No","No"
"NARA","2025","Administrative Overhead","","","No","No"
"NARA","2017","Agency Services","","","No",""
"NARA","2019","Agency Services","","No","No",""
"NARA","2020","Agency Services","","NO","Yes","No"
"NARA","2021","Agency Services","","","No","No"
"NARA","2022","Agency Services","","","No","No"
"NARA","2023","Agency Services","0","","Yes","No"
"NARA","2024","Agency Services","0","","No","No"
"NARA","2025","Agency Services","","","No","No"
"NARA","2017","Legislative Archives, Presidential Libraries, and Museum Services","","","No",""
"NARA","2019","Legislative Archives, Presidential Libraries, and Museum Services","","No","No",""
"NARA","2020","Legislative Archives, Presidential Libraries, and Museum Services","","NO","Yes","No"
"NARA","2021","Legislative Archives, Presidential Libraries, and Museum Services","","","No","No"
"NARA","2022","Legislative Archives, Presidential Libraries, and Museum Services","","","No","No"
"NARA","2023","Legislative Archives, Presidential Libraries, and Museum Services","0","","Yes","No"
"NARA","2024","Legislative Archives, Presidential Libraries, and Museum Services","","","No","No"
"NARA","2025","Legislative Archives, Presidential Libraries, and Museum Services","","","No","No"
"NARA","2021","NARA Agency Reporting","","","No",""
"NARA","2017","National Historical Publications and Records Commission (NHPRC) Grants","","","No",""
"NARA","2019","National Historical Publications and Records Commission (NHPRC) Grants","","No","No",""
"NARA","2020","National Historical Publications and Records Commission (NHPRC) Grants","","NO","Yes","No"
"NARA","2021","National Historical Publications and Records Commission (NHPRC) Grants","","","No","No"
"NARA","2022","National Historical Publications and Records Commission (NHPRC) Grants","","","No","No"
"NARA","2023","National Historical Publications and Records Commission (NHPRC) Grants","","","No","No"
"NARA","2024","National Historical Publications and Records Commission (NHPRC) Grants","0","","No","No"
"NARA","2025","National Historical Publications and Records Commission (NHPRC) Grants","","","No","No"
"NARA","2024","Office of Presidential Libraries","0","","No",""
"NARA","2017","Office of the Inspector General","","","No",""
"NARA","2019","Office of the Inspector General","","No","No",""
"NARA","2020","Office of the Inspector General","","NO","Yes","No"
"NARA","2021","Office of the Inspector General","","","No","No"
"NARA","2022","Office of the Inspector General","","","No","No"
"NARA","2023","Office of the Inspector General","0","","Yes","No"
"NARA","2024","Office of the Inspector General","","","No","No"
"NARA","2025","Office of the Inspector General","","","No","No"
"NARA","2021","Repairs and Restoration","","","No",""
"NARA","2022","Repairs and Restoration","","","No",""
"NARA","2023","Repairs and Restoration","","","No",""
"NARA","2025","Repairs and Restoration","","","No",""
"NARA","2021","Research Services","","","No",""
"NARA","2022","Research Services","","","No",""
"NARA","2023","Research Services","","","No",""
"NARA","2024","Research Services","0","","No",""
"NARA","2025","Research Services","","","No",""
"NASA","2017","21st Century Space Launch Complex","","","No",""
"NASA","2020","21st Century Space Launch Complex","","NO","Yes","No"
"NASA","2021","21st Century Space Launch Complex","","","No","No"
"NASA","2022","21st Century Space Launch Complex","","","No","No"
"NASA","2023","21st Century Space Launch Complex","0","","Yes","No"
"NASA","2024","21st Century Space Launch Complex","","","No","No"
"NASA","2022","Advanced Air Vehicles Program","0","No","Yes","No"
"NASA","2023","Advanced Air Vehicles Program","0","","Yes","No"
"NASA","2024","Advanced Air Vehicles Program","0","","No","No"
"NASA","2025","Advanced Air Vehicles Program","","","No","No"
"NASA","2020","Advanced Cislunar and Surface Capabilities","","NO","No",""
"NASA","2021","Advanced Cislunar and Surface Capabilities","","No","Yes","No"
"NASA","2022","Advanced Cislunar and Surface Capabilities","","","No","No"
"NASA","2023","Advanced Cislunar and Surface Capabilities","0","","Yes","No"
"NASA","2024","Advanced Cislunar and Surface Capabilities","0","","No","No"
"NASA","2018","Advanced Exploration Systems","","","No",""
"NASA","2021","Advanced Exploration Systems","","No","Yes","No"
"NASA","2022","Advanced Exploration Systems","","","No","No"
"NASA","2023","Advanced Exploration Systems","0","","Yes","No"
"NASA","2024","Advanced Exploration Systems","0","","No","No"
"NASA","2025","Advanced Exploration Systems","","","No","No"
"NASA","2017","Aeronautics Construction of Facilities (COF)","","","No",""
"NASA","2020","Aeronautics Construction of Facilities (COF)","","NO","Yes","No"
"NASA","2021","Aeronautics Construction of Facilities (COF)","","","No","No"
"NASA","2022","Aeronautics Construction of Facilities (COF)","","","No","No"
"NASA","2023","Aeronautics Construction of Facilities (COF)","","","No","No"
"NASA","2024","Aeronautics Construction of Facilities (COF)","","","No","No"
"NASA","2017","Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursable","","","No",""
"NASA","2021","Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursable","","","No",""
"NASA","2022","Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursable","","","No",""
"NASA","2023","Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursable","","","No",""
"NASA","2024","Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursable","","","No",""
"NASA","2017","Aeronautics Strategy and Management","","","No",""
"NASA","2020","Aeronautics Strategy and Management","","NO","Yes","No"
"NASA","2021","Aeronautics Strategy and Management","","","No","No"
"NASA","2017","Aeronautics Test Program","","","No",""
"NASA","2020","Aeronautics Test Program","","NO","Yes","No"
"NASA","2021","Aeronautics Test Program","","","No","No"
"NASA","2021","Aerosciences Evaluation and Test Capabilities","","No","Yes","No"
"NASA","2022","Aerosciences Evaluation and Test Capabilities","","","No","No"
"NASA","2023","Aerosciences Evaluation and Test Capabilities","0","","Yes","No"
"NASA","2024","Aerosciences Evaluation and Test Capabilities","0","","No","No"
"NASA","2025","Aerosciences Evaluation and Test Capabilities","","","No","No"
"NASA","2018","Agency Information Technology (IT) Services","","","No",""
"NASA","2021","Agency Information Technology (IT) Services","","","No",""
"NASA","2018","Agency Management","","","No",""
"NASA","2021","Agency Management","","No","Yes","No"
"NASA","2022","Agency Management","0","No","Yes","No"
"NASA","2023","Agency Management","0","","Yes","No"
"NASA","2024","Agency Management","","","No","No"
"NASA","2021","Agency Technical Authority","","No","Yes","No"
"NASA","2022","Agency Technical Authority","","","No","No"
"NASA","2023","Agency Technical Authority","0","","Yes","No"
"NASA","2024","Agency Technical Authority","0","","No","No"
"NASA","2025","Agency Technical Authority","","","No","No"
"NASA","2021","Agency Technology and Innovation (AT&I)","","","No",""
"NASA","2022","Agency Technology and Innovation (AT&I)","","","No",""
"NASA","2023","Agency Technology and Innovation (AT&I)","","","No",""
"NASA","2024","Agency Technology and Innovation (AT&I)","","","No",""
"NASA","2017","Airspace Operations and Safety Program","","","No",""
"NASA","2020","Airspace Operations and Safety Program","","NO","Yes","No"
"NASA","2021","Airspace Operations and Safety Program","","","No","No"
"NASA","2022","Airspace Operations and Safety Program","","","No","No"
"NASA","2023","Airspace Operations and Safety Program","0","","Yes","No"
"NASA","2024","Airspace Operations and Safety Program","0","","No","No"
"NASA","2025","Airspace Operations and Safety Program","","","No","No"
"NASA","2018","Airspace Systems","","","No",""
"NASA","2021","Airspace Systems","","","No",""
"NASA","2021","Ames Research Center (ARC)","","","No",""
"NASA","2017","Applied Sciences","","","No",""
"NASA","2020","Applied Sciences","","NO","Yes","No"
"NASA","2021","Applied Sciences","","","No","No"
"NASA","2022","Applied Sciences","","","No","No"
"NASA","2023","Applied Sciences","0","","Yes","No"
"NASA","2024","Applied Sciences","0","","No","No"
"NASA","2025","Applied Sciences","","","No","No"
"NASA","2021","Armstrong Flight Reach Center (AFRC)","","","No",""
"NASA","2018","Astrophysics Explorer","","","No",""
"NASA","2021","Astrophysics Explorer","","No","Yes","No"
"NASA","2022","Astrophysics Explorer","","","No","No"
"NASA","2023","Astrophysics Explorer","0","","Yes","No"
"NASA","2024","Astrophysics Explorer","0","","No","No"
"NASA","2025","Astrophysics Explorer","","","No","No"
"NASA","2018","Astrophysics Research","","","No",""
"NASA","2021","Astrophysics Research","","No","Yes","No"
"NASA","2022","Astrophysics Research","","","No","No"
"NASA","2023","Astrophysics Research","0","","Yes","No"
"NASA","2024","Astrophysics Research","0","","No","No"
"NASA","2025","Astrophysics Research","","","No","No"
"NASA","2018","Aviation Safety Program","","","No",""
"NASA","2021","Aviation Safety Program","","","No",""
"NASA","2022","Aviation Safety Program","","","No",""
"NASA","2023","Aviation Safety Program","","","No",""
"NASA","2024","Aviation Safety Program","","","No",""
"NASA","2021","Biological and Physical Sciences","","","No",""
"NASA","2022","Biological and Physical Sciences","","","No",""
"NASA","2023","Biological and Physical Sciences","0","","Yes","No"
"NASA","2024","Biological and Physical Sciences","0","","No","No"
"NASA","2025","Biological and Physical Sciences","","","No","No"
"NASA","2017","Canadian Atlantic Storm Programmatic Program Reimbursable","","","No",""
"NASA","2021","Canadian Atlantic Storm Programmatic Program Reimbursable","","","No",""
"NASA","2021","Center Engineering Safety & Operations","","No","Yes","No"
"NASA","2020","Center Management and Operations","","NO","Yes","No"
"NASA","2021","Center Management and Operations","","","No","No"
"NASA","2022","Center Management and Operations","","","No","No"
"NASA","2023","Center Management and Operations","0","","Yes","No"
"NASA","2024","Center Management and Operations","0","","No","No"
"NASA","2018","Challenger Center Trust","","","No",""
"NASA","2020","Challenger Center Trust","","NO","Yes","No"
"NASA","2021","Challenger Center Trust","","","No","No"
"NASA","2022","Challenger Center Trust","","","No","No"
"NASA","2023","Challenger Center Trust","","","No","No"
"NASA","2024","Challenger Center Trust","","","No","No"
"NASA","2020","Commercial Crew Program","","NO","Yes","No"
"NASA","2021","Commercial Crew Program","","","No","No"
"NASA","2022","Commercial Crew Program","","","No","No"
"NASA","2023","Commercial Crew Program","0","","Yes","No"
"NASA","2024","Commercial Crew Program","0","","No","No"
"NASA","2025","Commercial Crew Program","","","No","No"
"NASA","2020","Commercial LEO Development","","NO","No",""
"NASA","2021","Commercial LEO Development","","No","Yes","No"
"NASA","2022","Commercial LEO Development","","","No","No"
"NASA","2023","Commercial LEO Development","0","","Yes","No"
"NASA","2024","Commercial LEO Development","0","","No","No"
"NASA","2025","Commercial LEO Development","","","No","No"
"NASA","2021","Communication Services Program","","","No",""
"NASA","2022","Communication Services Program","","","No",""
"NASA","2023","Communication Services Program","0","","Yes","No"
"NASA","2024","Communication Services Program","0","","No","No"
"NASA","2025","Communication Services Program","","","No","No"
"NASA","2017","Constellation Systems","","","No",""
"NASA","2020","Constellation Systems","","NO","Yes","No"
"NASA","2021","Constellation Systems","","","No","No"
"NASA","2016","Construction of Facilities (COF) Hurricane Sandy Project","","","Yes","No"
"NASA","2017","Construction of Facilities (COF) Hurricane Sandy Project","","","No","No"
"NASA","2018","Construction of Facilities (COF) Hurricane Sandy Project","","","No","No"
"NASA","2019","Construction of Facilities (COF) Hurricane Sandy Project","","","No","No"
"NASA","2020","Construction of Facilities (COF) Hurricane Sandy Project","","","No","No"
"NASA","2021","Construction of Facilities (COF) Hurricane Sandy Project","","","No","No"
"NASA","2017","Cosmic Origins","","","No",""
"NASA","2020","Cosmic Origins","","NO","Yes","No"
"NASA","2021","Cosmic Origins","","","No","No"
"NASA","2022","Cosmic Origins","","","No","No"
"NASA","2023","Cosmic Origins","0","","Yes","No"
"NASA","2024","Cosmic Origins","0","","No","No"
"NASA","2025","Cosmic Origins","","","No","No"
"NASA","2017","Crew and Cargo Program","","","No",""
"NASA","2020","Crew and Cargo Program","","NO","Yes","No"
"NASA","2021","Crew and Cargo Program","","","No","No"
"NASA","2022","Crew and Cargo Program","","","No","No"
"NASA","2023","Crew and Cargo Program","0","","Yes","No"
"NASA","2024","Crew and Cargo Program","0","","No","No"
"NASA","2025","Crew and Cargo Program","","","No","No"
"NASA","2022","Disaster Relief Appropriation","","","Yes","No"
"NASA","2023","Disaster Relief Appropriation","0","","Yes","No"
"NASA","2024","Disaster Relief Appropriation","","","No","No"
"NASA","2018","Discovery","","","No",""
"NASA","2021","Discovery","","No","Yes","No"
"NASA","2022","Discovery","","","No","No"
"NASA","2023","Discovery","0","","Yes","No"
"NASA","2024","Discovery","0","","No","No"
"NASA","2025","Discovery","","","No","No"
"NASA","2022","Early Stage Innovation and Partnerships","0","No","Yes","No"
"NASA","2023","Early Stage Innovation and Partnerships","0","","Yes","No"
"NASA","2024","Early Stage Innovation and Partnerships","0","","No","No"
"NASA","2025","Early Stage Innovation and Partnerships","","","No","No"
"NASA","2021","Earth Science Data Systems","","No","Yes","No"
"NASA","2022","Earth Science Data Systems","","","No","No"
"NASA","2023","Earth Science Data Systems","0","","Yes","No"
"NASA","2024","Earth Science Data Systems","0","","No","No"
"NASA","2025","Earth Science Data Systems","","","No","No"
"NASA","2018","Earth Science Multi-Mission Operations","","","No",""
"NASA","2021","Earth Science Multi-Mission Operations","","","No",""
"NASA","2018","Earth Science Research","","","No",""
"NASA","2021","Earth Science Research","","No","Yes","No"
"NASA","2022","Earth Science Research","","","No","No"
"NASA","2023","Earth Science Research","0","","Yes","No"
"NASA","2024","Earth Science Research","0","","No","No"
"NASA","2025","Earth Science Research","","","No","No"
"NASA","2022","Earth Science Technology","0","No","Yes","No"
"NASA","2023","Earth Science Technology","0","","Yes","No"
"NASA","2024","Earth Science Technology","0","","No","No"
"NASA","2025","Earth Science Technology","","","No","No"
"NASA","2023","Earth System Explorers","","","No",""
"NASA","2024","Earth System Explorers","","","No",""
"NASA","2022","Earth System Science Pathfinder","0","No","Yes","No"
"NASA","2023","Earth System Science Pathfinder","0","","Yes","No"
"NASA","2024","Earth System Science Pathfinder","0","","No","No"
"NASA","2025","Earth System Science Pathfinder","","","No","No"
"NASA","2022","Earth Systematic Missions","0","No","Yes","No"
"NASA","2023","Earth Systematic Missions","0","","Yes","No"
"NASA","2024","Earth Systematic Missions","0","","No","No"
"NASA","2025","Earth Systematic Missions","","","No","No"
"NASA","2017","Enhanced Use Lease Program","","","No",""
"NASA","2020","Enhanced Use Lease Program","","NO","Yes","No"
"NASA","2021","Enhanced Use Lease Program","","","No","No"
"NASA","2022","Enhanced Use Lease Program","","","No","No"
"NASA","2023","Enhanced Use Lease Program","0","","Yes","No"
"NASA","2024","Enhanced Use Lease Program","0","","No","No"
"NASA","2025","Enhanced Use Lease Program","","","No","No"
"NASA","2017","Environmental Compliance and Restoration","","","No",""
"NASA","2018","Environmental Compliance and Restoration","","","No",""
"NASA","2020","Environmental Compliance and Restoration","","NO","No",""
"NASA","2021","Environmental Compliance and Restoration","","No","Yes","No"
"NASA","2022","Environmental Compliance and Restoration","","","No","No"
"NASA","2023","Environmental Compliance and Restoration","0","","Yes","No"
"NASA","2024","Environmental Compliance and Restoration","0","","No","No"
"NASA","2025","Environmental Compliance and Restoration","","","No","No"
"NASA","2021","Exoplanet Exploration","","No","Yes","No"
"NASA","2022","Exoplanet Exploration","","","No","No"
"NASA","2023","Exoplanet Exploration","0","","Yes","No"
"NASA","2024","Exoplanet Exploration","0","","No","No"
"NASA","2025","Exoplanet Exploration","","","No","No"
"NASA","2018","Exploration CoF","","","No",""
"NASA","2021","Exploration CoF","","No","Yes","No"
"NASA","2022","Exploration CoF","","","No","No"
"NASA","2023","Exploration CoF","0","","Yes","No"
"NASA","2024","Exploration CoF","0","","No","No"
"NASA","2025","Exploration CoF","","","No","No"
"NASA","2018","Exploration Ground Systems","","","No",""
"NASA","2021","Exploration Ground Systems","","No","Yes","No"
"NASA","2022","Exploration Ground Systems","","","No","No"
"NASA","2023","Exploration Ground Systems","0","","Yes","No"
"NASA","2024","Exploration Ground Systems","0","","No","No"
"NASA","2025","Exploration Ground Systems","","","No","No"
"NASA","2023","Exploration Operations","","","No",""
"NASA","2024","Exploration Operations","0","","Yes","No"
"NASA","2017","Exploration Technology Development","","","No",""
"NASA","2020","Exploration Technology Development","","NO","Yes","No"
"NASA","2021","Exploration Technology Development","","","No","No"
"NASA","2021","Exploration Technology Development Program (ETDP)","","","No",""
"NASA","2022","Exploration Technology Development Program (ETDP)","","","No",""
"NASA","2023","Exploration Technology Development Program (ETDP)","","","No",""
"NASA","2024","Exploration Technology Development Program (ETDP)","","","No",""
"NASA","2017","Fundamental Aeronautics","","","No",""
"NASA","2020","Fundamental Aeronautics","","NO","Yes","No"
"NASA","2021","Fundamental Aeronautics","","","No","No"
"NASA","2025","Future Systems","","","No",""
"NASA","2020","Gateway","","NO","Yes","No"
"NASA","2021","Gateway","","No","Yes","No"
"NASA","2022","Gateway","","","No","No"
"NASA","2023","Gateway","0","","Yes","No"
"NASA","2024","Gateway","0","","No","No"
"NASA","2025","Gateway","","","No","No"
"NASA","2021","Glenn Research Center (GRC)","","","No",""
"NASA","2021","Goddard Space Flight Center (GSFC)","","","No",""
"NASA","2017","Heliophysics Explorer Program","","","No",""
"NASA","2020","Heliophysics Explorer Program","","NO","Yes","No"
"NASA","2021","Heliophysics Explorer Program","","","No","No"
"NASA","2022","Heliophysics Explorer Program","","","No","No"
"NASA","2023","Heliophysics Explorer Program","0","","Yes","No"
"NASA","2024","Heliophysics Explorer Program","0","","No","No"
"NASA","2025","Heliophysics Explorer Program","","","No","No"
"NASA","2022","Heliophysics Research","0","No","Yes","No"
"NASA","2023","Heliophysics Research","0","","Yes","No"
"NASA","2024","Heliophysics Research","0","","No","No"
