"Fiscal_Year","Agency","Program_Name","Column_names","Multiselect_Text","Question","Section","Reporting_Phases_Current_FY"
"2024","DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","cyp7_atp1_8","","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","DOW","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","ED","Education Stabilization Fund","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","ED","Education Stabilization Fund","cyp3_atp1_8","Training","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","ED","William D. Ford Federal Direct Loan Program","cyp5_app1_8","Behavioral/Psych Influence","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","ED","William D. Ford Federal Direct Loan Program","cyp5_atp1_8","Cross Enterprise Sharing","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2024","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp5_app1_8","Automation","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp5_app1_8","Behavioral/Psych Influence","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","USDA","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)","cyp2_app1_8","Training","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control",""
"2025","SSA","Old-Age and Survivors Insurance (OASI)","cyp5_atp1_8","Statutory Change","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","SSA","Old-Age and Survivors Insurance (OASI)","cyp5_atp1_8","Behavioral/Psych Influence","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","SSA","Old-Age and Survivors Insurance (OASI)","cyp5_atp1_8","Cross Enterprise Sharing","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","SSA","Old-Age and Survivors Insurance (OASI)","cyp5_atp1_8","Automation","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2024","DOW","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","TREASURY","Departmental Offices - Pandemic Relief for Aviation Workers","cyp5_app1_8","","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","ED","William D. Ford Federal Direct Loan Program","cyp5_atp1_8","Predictive Analytics","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2024","SBA","Shuttered Venue Operators Grant Program","cyp5_app1_8","","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DHS","United States Customs and Border Protection - Procurement, Construction, and Improvements - Disaster Supplemental Funds","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","DOW","DoD Travel Pay","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Cross Enterprise Sharing","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp2_app1_8","Change Process","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp2_app1_8","Statutory Change","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp2_atp1_8","Automation","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp3_app1_8","Behavioral/Psych Influence","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","cyp7_app1_8","","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","USDA","Emergency Conservation Program","cyp6_atp1_8","Change Process","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","USDA","Emergency Conservation Program","cyp7_app1_8","","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Travel Pay Other Defense Organization (ODO) – Defense Travel System (DTS)","cyp7_app1_8","Cross Enterprise Sharing","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Travel Pay Other Defense Organization (ODO) – Defense Travel System (DTS)","cyp7_app1_8","Training","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Travel Pay Other Defense Organization (ODO) – Defense Travel System (DTS)","cyp7_app1_8","Change Process","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","SBA","Paycheck Protection Program (PPP) Loan Guaranty Purchases","cyp2_app1_8","Change Process","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","TREASURY","Internal Revenue Service - US Coronavirus Refundable Credits","cyp5_atp1_8","","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp6_app1_8","Training","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Additional Child Tax Credit","cyp2_app1_8","","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","TREASURY","Internal Revenue Service - Additional Child Tax Credit","cyp3_atp1_8","Cross Enterprise Sharing","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","TREASURY","Internal Revenue Service - Additional Child Tax Credit","cyp5_app1_8","","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Additional Child Tax Credit","cyp5_atp1_8","","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2023","VA","Beneficiary Travel","cyp7_app1_8","Change Process","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2025","VA","Pension","cyp5_app1_8","Automation","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","VA","Pension","cyp5_app1_8","Audit","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","VA","Pension","cyp5_app1_8","Training","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","cyp5_app1_8","Automation","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","cyp5_app1_8","Training","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","cyp5_app1_8","Change Process","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","cyp5_atp1_8","Predictive Analytics","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2024","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp6_atp1_8","Automation","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","DOW","Travel Pay Department of Air Force (DAF) – Defense Travel System (DTS)","cyp7_app1_8","Training","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp5_atp1_8","Training","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_app1_8","Audit","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","VA","VA Community Care","cyp7_atp1_8","Change Process","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Behavioral/Psych Influence","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Training","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp7_app1_8","Change Process","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Additional Child Tax Credit","cyp7_app1_8","","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","VA","Communications, Utilities, and Other Rent","cyp7_app1_8","Change Process","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2025","CNCS","The Foster Grandparent Program (FGP)","cyp21_atp1_8","Training","[cyp21_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Administration for Children and Families (ACF) - Head Start","cyp5_app1_8","Change Process","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Administration for Children and Families (ACF) - Head Start","cyp5_atp1_8","Audit","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Prevention","Phase 2"
"2025","DOW","Travel Pay Other Defense Organization (ODO) – Integrated Automated Travel System (IATS)","cyp21_atp1_8","Predictive Analytics","[cyp21_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOW","Travel Pay Other Defense Organization (ODO) – Integrated Automated Travel System (IATS)","cyp21_atp1_8","Training","[cyp21_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOL","Employment & Training Administration - Federal State Unemployment Insurance","cyp21_atp1_8","Training","[cyp21_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOL","Employment & Training Administration - Federal State Unemployment Insurance","cyp21_atp1_8","Cross Enterprise Sharing","[cyp21_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOL","Employment & Training Administration - Federal State Unemployment Insurance","cyp21_atp1_8","Behavioral/Psych Influence","[cyp21_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Administration for Children and Families (ACF) - Head Start","cyp5_app1_8","Cross Enterprise Sharing","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Administration for Children and Families (ACF) - Head Start","cyp5_app1_8","Training","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Administration for Children and Families (ACF) - Head Start","cyp5_app1_8","Audit","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","cyp6_app1_8","","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","DOW","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","cyp5_atp1_8","Training","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2024","TREASURY","Internal Revenue Service - US Coronavirus Refundable Credits","cyp5_app1_8","","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_app1_8","Training","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_app1_8","Cross Enterprise Sharing","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_atp1_8","Change Process","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_atp1_8","Cross Enterprise Sharing","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","DOW","DoD Travel Pay","cyp5_atp1_8","Training","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments","Phase 2"
"2023","USDA","School Breakfast Program","cyp3_app1_8","Automation","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","ED","Federal Pell Grant Program","cyp6_app1_8","Change Process","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp6_atp1_8","Behavioral/Psych Influence","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp6_atp1_8","Predictive Analytics","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp7_app1_8","Training","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp7_atp1_8","Audit","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2025","HHS","Administration for Children and Families (ACF) - Head Start","cyp6_atp1_8","Audit","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","SBA","7(a) Loan Guarantees Approvals","cyp21_app1_8","","[cyp21_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","SBA","7(a) Loan Guarantees Approvals","cyp6_app1_8","Training","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","SBA","7(a) Loan Guarantees Approvals","cyp6_app1_8","Change Process","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","SBA","7(a) Loan Guarantees Approvals","cyp6_app1_8","Audit","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp21_app1_8","Automation","[cyp21_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp21_app1_8","Audit","[cyp21_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp21_app1_8","Training","[cyp21_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp21_app1_8","Predictive Analytics","[cyp21_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","ED","Federal Pell Grant Program","cyp3_app1_8","Change Process","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","ED","William D. Ford Federal Direct Loan Program","cyp2_atp1_8","","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","VA","Communications, Utilities, and Other Rent","cyp2_app1_8","","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Centers","cyp5_atp1_8","Change Process","[cyp5_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)
","Underpayments",""
"2023","DOW","Military Retirement","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2023","DOW","Military Retirement","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","DOW","Military Retirement","cyp3_atp1_8","Training","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","DOW","Military Retirement","cyp7_app1_8","Change Process","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2025","HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","cyp7_app1_8","Automation","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","USDA","Emergency Conservation Program","cyp21_app1_8","Change Process","[cyp21_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp6_atp1_8","Training","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp6_atp1_8","Audit","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
