"Agency","Program Name","Assistance Listing Number"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce","93.547"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce","93.7"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce","93.732"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce","93.303"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce","93.155"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.165"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.288"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.501"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.53"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.162"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.732"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.908"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.547"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.303"
"HHS","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","93.155"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.127"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.251"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.365"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.926"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.994"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.211"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.11"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.912"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.267"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.887"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.234"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","93.528"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Mandatory)","93.504"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Mandatory)","93.11"
"HHS","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Mandatory)","93.87"
"HHS","Health Resources and Services Administration (HRSA) - Maternal, Infant, and Early Childhood Home Visiting Programs","93.87"
"HHS","Health Resources and Services Administration (HRSA) - Maternal, Infant, and Early Childhood Home Visiting Programs","93.87"
"HHS","Health Resources and Services Administration (HRSA) - Program Management","93.498"
"HHS","Health Resources and Services Administration (HRSA) - Program Management","93.011"
"HHS","Health Resources and Services Administration (HRSA) - Program Management","93.493"
"HHS","Health Resources and Services Administration (HRSA) - Program Management","93.155"
"HHS","Health Resources and Services Administration (HRSA) - Reimbursable","93.186"
"HHS","Health Resources and Services Administration (HRSA) - Reimbursable","93.342"
"HHS","Health Resources and Services Administration (HRSA) - Reimbursable","93.364"
"HHS","Health Resources and Services Administration (HRSA) - Reimbursable","93.303"
"HHS","Health Resources and Services Administration (HRSA) - Reimbursable","93.912"
"HHS","Health Resources and Services Administration (HRSA) - Reimbursable","93.011"
"HHS","Health Resources and Services Administration (HRSA) - Reimbursable","93.7"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.223"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.241"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.257"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.301"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.913"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.965"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.211"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.917"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.912"
"HHS","Health Resources and Services Administration (HRSA) - Rural Health","93.155"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.686"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.914"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.918"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.924"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.917"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.928"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.011"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.153"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.899"
"HHS","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","93.145"
"HHS","Indian Health Service (IHS) - Purchased/Referred Care (Clinical Services)","93.21"
"HHS","Indian Health Service (IHS) - Purchased/Referred Care (Clinical Services)","93.441"
"HHS","Indian Health Service (IHS) - Alcohol and Substance Abuse (Clinical Services)","93.21"
"HHS","Indian Health Service (IHS) - Alcohol and Substance Abuse (Clinical Services)","93.441"
"HHS","Indian Health Service (IHS) - Community Health Representatives (Preventive Health)","93.382"
"HHS","Indian Health Service (IHS) - Contract Support Costs","93.21"
"HHS","Indian Health Service (IHS) - Contract Support Costs","93.441"
"HHS","Indian Health Service (IHS) - Dental Services (Clinical Services)","93.21"
"HHS","Indian Health Service (IHS) - Dental Services (Clinical Services)","93.441"
"HHS","Indian Health Service (IHS) - Diabetes Funds","93.237"
"HHS","Indian Health Service (IHS) - Electronic Health Record System (Clinical Services)","93.21"
"HHS","Indian Health Service (IHS) - Electronic Health Record System (Clinical Services)","93.441"
"HHS","Indian Health Service (IHS) - Hospitals and Health Clinics (Clinical Services)","93.231"
"HHS","Indian Health Service (IHS) - Hospitals and Health Clinics (Clinical Services)","93.21"
"HHS","Indian Health Service (IHS) - Hospitals and Health Clinics (Clinical Services)","93.441"
"HHS","Indian Health Service (IHS) - Indian Health Care Improvement Fund (Clinical Services)","93.21"
"HHS","Indian Health Service (IHS) - Indian Health Care Improvement Fund (Clinical Services)","93.441"
"HHS","Indian Health Service (IHS) - Indian Health Professions","93.123"
"HHS","Indian Health Service (IHS) - Indian Health Professions","93.164"
"HHS","Indian Health Service (IHS) - Indian Health Professions","93.97"
"HHS","Indian Health Service (IHS) - Indian Health Professions","93.971"
"HHS","Indian Health Service (IHS) - Indian Health Professions","93.972"
"HHS","Indian Health Service (IHS) - Indian Health Professions","93.228"
"HHS","Indian Health Service (IHS) - Mental Health (Clinical Services)","93.654"
"HHS","Indian Health Service (IHS) - Public Health Nursing (Preventive Health)","93.383"
"HHS","Indian Health Service (IHS) - Urban Health","93.193"
"HHS","National Institutes of Health (NIH) - Advanced Research Projects Agency for Health","93.384"
"HHS","National Institutes of Health (NIH) - Buildings and Facilities","93.31"
"HHS","National Institutes of Health (NIH) - Eunice K. Shriver National Institute of Child Health and Human Development","93.865"
"HHS","National Institutes of Health (NIH) - Fogarty International Center","93.934"
"HHS","National Institutes of Health (NIH) - National Cancer Institute","93.395"
"HHS","National Institutes of Health (NIH) - National Cancer Institute Frederick National Laboratory for Cancer Research/Federally Funded Research and Development Centers","93.395"
"HHS","National Institutes of Health (NIH) - National Center for Advancing Translational Sciences","93.35"
"HHS","National Institutes of Health (NIH) - National Center for Complementary and Integrative Health","93.213"
"HHS","National Institutes of Health (NIH) - National Eye Institute","93.867"
"HHS","National Institutes of Health (NIH) - National Heart, Lung, and Blood Institute","93.837"
"HHS","National Institutes of Health (NIH) - National Heart, Lung, and Blood Institute","93.838"
"HHS","National Institutes of Health (NIH) - National Heart, Lung, and Blood Institute","93.839"
"HHS","National Institutes of Health (NIH) - National Human Genome Research Institute","93.172"
"HHS","National Institutes of Health (NIH) - National Institute of Allergy and Infectious Diseases","93.855"
"HHS","National Institutes of Health (NIH) - National Institute of Arthritis and Musculoskeletal and Skin Diseases","93.846"
"HHS","National Institutes of Health (NIH) - National Institute of Biomedical Imaging and Bioengineering","93.859"
"HHS","National Institutes of Health (NIH) - National Institute of Dental and Craniofacial Research","93.121"
"HHS","National Institutes of Health (NIH) - National Institute of Diabetes and Digestive and Kidney Diseases","93.847"
"HHS","National Institutes of Health (NIH) - National Institute of Environmental Health Sciences","93.113"
"HHS","National Institutes of Health (NIH) - National Institute of Environmental Health Sciences","93.143"
"HHS","National Institutes of Health (NIH) - National Institute of General Medical Sciences","93.859"
"HHS","National Institutes of Health (NIH) - National Institute of Mental Health","93.242"
"HHS","National Institutes of Health (NIH) - National Institute of Neurological Disorders and Stroke","93.853"
"HHS","National Institutes of Health (NIH) - National Institute on Aging","93.866"
"HHS","National Institutes of Health (NIH) - National Institute on Alcohol Abuse and Alcoholism","93.273"
"HHS","National Institutes of Health (NIH) - National Institute on Deafness and Communication Disorders","93.173"
"HHS","National Institutes of Health (NIH) - National Institute on Drug Abuse","93.279"
"HHS","National Institutes of Health (NIH) - National Institute on Minority Health and Health Disparities","93.307"
"HHS","National Institutes of Health (NIH) - National Institute on Nursing Research","93.361"
"HHS","National Institutes of Health (NIH) - National Library of Medicine","93.879"
"HHS","National Institutes of Health (NIH) - Office of the Director","93.31"
"HHS","Office of the Assistant Secretary for Health (OASH) - Embryo Adoption Awareness Campaign","93.007"
"HHS","Office of the Assistant Secretary for Health (OASH) - Family Planning","93.217"
"HHS","Office of the Assistant Secretary for Health (OASH) - Family Planning","93.26"
"HHS","Office of the Assistant Secretary for Health (OASH) - Family Planning","93.974"
"HHS","Office of the Assistant Secretary for Health (OASH) - General Departmental Management","93.344"
"HHS","Office of the Assistant Secretary for Health (OASH) - General Departmental Management","93.99"
"HHS","Office of the Assistant Secretary for Health (OASH) - Minority HIV/AIDS Fund","93.899"
"HHS","Office of the Assistant Secretary for Health (OASH) - Office of Minority Health","93.137"
"HHS","Office of the Assistant Secretary for Health (OASH) - Office of Research Integrity","93.085"
"HHS","Office of the Assistant Secretary for Health (OASH) - Office of Research Integrity","93.085"
"HHS","Office of the Assistant Secretary for Health (OASH) - Office on Women's Health","93.088"
"HHS","Office of the Assistant Secretary for Health (OASH) - Teen Pregnancy Prevention","93.297"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - 988 and Behavioral Health Crisis Coordinating Office","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Center for Substance Abuse Prevention - Minority AIDS","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Assisted Outpatient Treatment","93.997"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Building Communities of Recovery","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Certified Community Behavioral Health Clinics","93.696"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Certified Community Behavioral Health Clinics","93.696"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Children and Families","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Children's Mental Health Services","93.104"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Community Mental Health Services Block Grant","93.958"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Community Project Funding / Congressionally Directed Spending","93.493"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Criminal and Juvenile Justice Programs","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Criminal Justice Activities","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Mental Health Disaster Assistance and Emergency Mental Health","93.982"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - First Responder Training","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Garret Lee Smith Youth Suicide Prevention Resource Center ","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Grants to Prevent Prescription Drug / Opioid Overdose","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Healthy Transitions","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Homelessness Prevention Programs","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Infant and Early Childhood Mental Health","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Linking Actions for Unmet Needs in Children's Health (Project LAUNCH)","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Mental Health Awareness Training","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Mental Health Crisis Response Grants","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Tribal Behavioral Health Grants","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Minority Fellowship Program","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - National Child Traumatic Stress Initiative","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - National Strategy on Suicide Prevention","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Opioid Treatment Programs / Regulatory Activities","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Pregnant & Postpartum Women","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Primary and Behavioral Health Care Integration","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Project AWARE","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Projects for Assistance in Transition from Homelessness","93.15"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Protection and Advocacy for Individuals with Mental Illness","93.138"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Screening, Brief Intervention and Referral to Treatment","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Sober Truth on Preventing Underage Drinking Act (STOP Act)","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - State Opioid Response","93.788"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Strategic Prevention Framework","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Substance Use Prevention, Treatment, and Recovery Services Block Grant","93.959"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Center for Substance Abuse Treatment - Minority AIDS","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Targeted Capacity Expansion","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Treatment Systems for the Homeless","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Treatment, Recovery, and Workforce Support","93.243"
"HHS","Administration for Children and Families (ACF) - Grants to Culturally Specific Populations (American Rescue Plan)","93.496"
"HHS","Centers for Medicare & Medicaid Services (CMS) - Maternal Opioid Misuse Model","93.687"
"HHS","Administration for Children and Families (ACF) - Head Start Disaster Recovery","93.356"
"HHS","Administration for Children and Families (ACF) - Affordable Care Act (ACA) Tribal Maternal, Infant, and Early Childhood Home Visiting Program","93.508"
"HHS","Administration for Children and Families (ACF) - ARRA – Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program","93.714"
"HHS","Administration for Children and Families (ACF) - Child Care Disaster Relief","93.489"
"HHS","Administration for Children and Families (ACF) - Child Support Enforcement Demonstrations and Special Projects","93.601"
"HHS","Administration for Children and Families (ACF) - Demonstration Grants for Domestic Victims of Human Trafficking","93.327"
"HHS","Administration for Children and Families (ACF) - Family Connection Grants","93.605"
"HHS","Administration for Children and Families (ACF) - Family Violence Prevention and Services/ Sexual Assault/Rape Crisis Services and Supports","93.497"
"HHS","Administration for Children and Families (ACF) - Health Profession Opportunity Grants","93.093"
"HHS","Administration for Children and Families (ACF) - Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality","93.581"
"HHS","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Targeted Assistance Grants","93.584"
"HHS","Administration for Children and Families (ACF) - Tribal Work Grants","93.594"
"HHS","Administration for Children and Families (ACF) - U.S. Repatriation","93.579"
"HHS","Administration for Children and Families (ACF) - Welfare Reform Research, Evaluations and National Studies","93.595"
"HHS","Administration for Community Living (ACL) - Chronic Disease Self-Management Education Programs ","93.734"
"HHS","Administration for Community Living (ACL) - Elder Justice Act – Adult Protective Services","93.698"
"HHS","Administration for Community Living (ACL) - Falls Prevention Programs","93.761"
"HHS","Administration for Community Living (ACL) - Medicare Enrollment Assistance Program","93.071"
"HHS","Centers for Disease Control and Prevention (CDC) - Center for Forecasting and Outbreak Analytics","93.823"
"HHS","Food and Drug Administration (FDA) - Cooperative Research and Development (CRADA)","93.103"
"HHS","Food and Drug Administration (FDA) - Food and Drug Administration Research","93.103"
"HHS","Food and Drug Administration (FDA) - Food and Drug Administration Research","93.103"
"HHS","Food and Drug Administration (FDA) - Seafood Safety Studies - GP Sec. 765","93.103"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.527"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.884"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.932"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.11"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.011"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.13"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.224"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.3"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.528"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.928"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.129"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.145"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.493"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Discretionary) ","93.155"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Mandatory)","93.526"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Mandatory)","93.932"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Mandatory)","93.224"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Mandatory)","93.527"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Mandatory)","93.129"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Mandatory)","93.145"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care (Mandatory)","93.155"
"HHS","Indian Health Service (IHS) - Self-Governance","15.022"
"HHS","Indian Health Service (IHS) - Tribal Management","93.228"
"HHS","National Institutes of Health (NIH) - Center for Information Technology","93.31"
"HHS","National Institutes of Health (NIH) - NIH Clinical Center","93.31"
"HHS","National Institutes of Health (NIH) - NIH Purchase Card Program ","93.31"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Certified Community Behavioral Health Clinics Planning Grants","93.829"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Community Harm Reduction and Engagement Initiative","93.243"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Community Mental Health Centers","93.958"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Emergency Grants to Address Mental and Substance Use Disorders During COVID-19","93.665"
"HHS","Substance Abuse and Mental Health Services Administration (SAMHSA) - Garret Lee Smith - Youth Suicide Prevention - States","93.243"
"HUD","Community Planning and Development - Capacity Building","14.252"
"HUD","Community Planning and Development - Community Development Block Grant – DRAA-Sandy","14.269"
"HUD","Community Planning and Development - Community Development Block Grant – DRAA-Sandy","14.272"
"HUD","Community Planning and Development - Community Development Block Grant – DRAA-Sandy","14.228"
"HUD","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement","14.023"
"HUD","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement","14.024"
"HUD","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement","14.225"
"HUD","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement","14.248"
"HUD","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement","14.218"
"HUD","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement","14.228"
"HUD","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement","14.228"
"HUD","Community Planning and Development - Congressional Earmarks –  Economic Development Initiative – Special Projects /Neighborhood Initiatives","14.251"
"HUD","Community Planning and Development - Community Development Block Grant – Disaster Recovery","14.218"
"HUD","Community Planning and Development - Community Development Block Grant – Disaster Recovery","14.228"
"HUD","Community Planning and Development - Community Development Block Grant – Disaster Recovery","14.218"
"HUD","Community Planning and Development - Community Development Block Grant – Disaster Recovery","14.228"
"HUD","Community Planning and Development - HOME Investments Partnership Program","14.239"
"HUD","Community Planning and Development - Homeless Assistance Grants","14.277"
"HUD","Community Planning and Development - Homeless Assistance Grants","14.231"
"HUD","Community Planning and Development - Homeless Assistance Grants","14.267"
"HUD","Community Planning and Development - Homeless Assistance Grants","14.273"
"HUD","Community Planning and Development - Homeless Assistance Grants","14.276"
"HUD","Community Planning and Development - Homeless Assistance Grants","14.249"
"HUD","Community Planning and Development - Homeless Assistance Grants","14.235"
"HUD","Community Planning and Development - Homeless Assistance Grants","14.238"
"HUD","Community Planning and Development - Homeless Assistance Grants","14.87"
"HUD","Community Planning and Development - Housing Opportunities for Persons with AIDS","14.241"
"HUD","Community Planning and Development - Housing Trust Fund","14.275"
"HUD","Community Planning and Development - Project Based Section 8 - Renewal of Expiring Sec. 8 Mod Rehab SRO","14.249"
"HUD","Community Planning and Development - Public Laws 115-123, 115-56, and 115-72","14.228"
"HUD","Community Planning and Development - Self-Help Homeownership Opportunity Program (SHOP)","14.265"
"HUD","Community Planning and Development - Self-Help Homeownership Opportunity Program (SHOP)","14.278"
"HUD","Community Planning and Development - Self-Help Homeownership Opportunity Program (SHOP)","14.247"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Assistance Program","14.401"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Initiatives Program","14.408"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Initiatives Program","14.416"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Initiatives Program","14.417"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Initiatives Program","14.418"
"HUD","Federal Housing Administration - Federal Finance Bank Direct Loans","14.188"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Claims","14.183"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Claims","14.311"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Notes","14.183"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage (HECM) Notes","14.311"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.126"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.128"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.129"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.134"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.135"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.138"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.139"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.142"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.151"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.155"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims (MFIC)","14.188"
"HUD","Federal Housing Administration - Multi-Family Notes","14.188"
"HUD","Federal Housing Administration - Multi-Family Notes","14.126"
"HUD","Federal Housing Administration - Multi-Family Notes","14.128"
"HUD","Federal Housing Administration - Multi-Family Notes","14.129"
"HUD","Federal Housing Administration - Multi-Family Notes","14.134"
"HUD","Federal Housing Administration - Multi-Family Notes","14.135"
"HUD","Federal Housing Administration - Multi-Family Notes","14.138"
"HUD","Federal Housing Administration - Multi-Family Notes","14.139"
"HUD","Federal Housing Administration - Multi-Family Notes","14.142"
"HUD","Federal Housing Administration - Multi-Family Notes","14.151"
"HUD","Federal Housing Administration - Multi-Family Notes","14.155"
"HUD","Federal Housing Administration - Other Disbursements","14.311"
"HUD","Federal Housing Administration - Single Family Claims","14.108"
"HUD","Federal Housing Administration - Single Family Claims","14.117"
"HUD","Federal Housing Administration - Single Family Claims","14.119"
"HUD","Federal Housing Administration - Single Family Claims","14.122"
"HUD","Federal Housing Administration - Single Family Claims","14.133"
"HUD","Federal Housing Administration - Single Family Claims","14.175"
"HUD","Federal Housing Administration - Single Family Claims","14.865"
"HUD","Federal Housing Administration - Single Family Claims","14.874"
"HUD","Federal Housing Administration - Single Family Claims","14.198"
"HUD","Federal Housing Administration - Single Family Claims","14.313"
"HUD","Federal Housing Administration - Single Family Claims","14.311"
"HUD","Federal Housing Administration - Single Family Property (Single Family Acquired Asset Management System) (SAMS)","14.198"
"HUD","Federal Housing Administration - Single Family Property (Single Family Acquired Asset Management System) (SAMS)","14.313"
"HUD","Federal Housing Administration - Single Family Property (Single Family Acquired Asset Management System) (SAMS)","14.311"
"HUD","Housing - Housing Counseling Assistance","14.022"
"HUD","Housing - Housing Counseling Assistance","14.169"
"HUD","Housing - Housing Counseling Assistance","14.316"
"HUD","Housing - Housing Counseling Assistance","14.537"
"HUD","Housing - Housing for Special Populations- Capital Advance portion of expenditures, Section 202","14.191"
"HUD","Housing - Housing for Special Populations- Capital Advance portion of expenditures, Section 202","14.157"
"HUD","Housing - Housing for Special Populations- Capital Advance portion of expenditures, Section 202","14.314"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","14.322"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","14.195"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","14.326"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","14.327"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","14.181"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","14.157"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","14.187"
